t_Android;t_unix;x;y;z;a
2422387272871373;1715088262374;-0.4336991;0.7076773;9.828519;3
2422387275087559;1715088262374;-0.4336991;0.7076773;9.828519;3
2422387277302607;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387279518773;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387281735386;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387283960850;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387286166172;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387288394322;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387290607091;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387292821690;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387295025304;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387297252599;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387299468236;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387301686741;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387303895604;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387306101048;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387308331212;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387310545567;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387312764439;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387314973302;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387317179417;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387319407689;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387321622899;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387323838231;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387326047215;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387328262669;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387330487522;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387332702915;1715088262432;-0.4336991;0.7076773;9.828519;3
2422387334918248;1715088262461;-0.4336991;0.7076773;9.828519;3
2422387337129430;1715088262461;-0.4336991;0.7076773;9.828519;3
2422387339339573;1715088262461;-0.4336991;0.7076773;9.828519;3
2422387341562718;1715088262461;-0.4336991;0.7076773;9.828519;3
2422387343779027;1715088262461;-0.4336991;0.7076773;9.828519;3
2422387345993565;1715088262461;-0.4336991;0.7076773;9.828519;3
