"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
8.715721667E-1;1.339898939E1;-3.235000711E0;8.792806671E0
8.815331666E-1;1.379889333E1;-2.439672378E0;9.940605748E0
8.914951667E-1;1.345517763E1;-1.859551987E0;9.320743586E0
9.014571666E-1;1.230470754E1;-1.518803741E0;8.005524691E0
9.114181667E-1;1.110021269E1;-1.447749546E0;6.941158365E0
9.213801667E-1;1.025263773E1;-1.890091410E0;6.177455868E0
9.313411667E-1;9.608271645E0;-2.497567999E0;5.502788923E0
9.413031667E-1;9.259955932E0;-2.897683611E0;4.781119135E0
9.512651666E-1;9.112394428E0;-3.245578909E0;4.096396149E0
9.612261667E-1;8.928095453E0;-3.640695151E0;3.394665951E0
9.711881666E-1;8.500083945E0;-3.887137164E0;2.642639174E0
9.811491667E-1;7.624718925E0;-4.059932912E0;1.879100398E0
9.911111667E-1;6.083649572E0;-4.169759994E0;1.399964345E0
1.001073167E0;4.194303097E0;-4.053337253E0;1.247736763E0
1.011034167E0;2.474173874E0;-3.528653728E0;1.238853673E0
1.020996167E0;1.265816939E0;-2.645767434E0;1.510292534E0
1.030957167E0;6.236423868E-1;-1.822923274E0;2.027113307E0
1.040919167E0;5.776131052E-1;-1.023146964E0;2.515088012E0
1.050881167E0;9.132935697E-1;-1.769531178E-1;2.937035372E0
1.060842167E0;1.290336068E0;6.949772483E-1;3.120791141E0
1.070804167E0;1.644208975E0;1.632259020E0;2.953338579E0
1.080765167E0;1.939655918E0;2.400586665E0;2.505230775E0
1.090727167E0;2.236212662E0;2.830539449E0;1.819186903E0
1.100689167E0;2.424529259E0;3.008974836E0;8.766823983E-1
1.110650167E0;2.388052574E0;2.902169595E0;-5.543321237E-2
1.120612167E0;2.058245637E0;2.652140899E0;-9.511838195E-1
1.130573167E0;1.651471801E0;2.355487676E0;-1.744409201E0
1.140535167E0;1.457078193E0;2.079545290E0;-2.488263910E0
1.150497167E0;1.572449605E0;1.641570126E0;-3.516630391E0
1.160458167E0;1.419418616E0;1.273726467E0;-4.087317469E0
1.170420167E0;1.020134771E0;9.757125968E-1;-4.173881696E0
1.180381167E0;1.461156919E0;9.946178144E-1;-4.331463866E0
1.190343167E0;1.685566916E0;1.178951288E0;-3.876630010E0
1.200305167E0;1.271637257E0;1.483389494E0;-2.735997865E0
1.210266167E0;1.250114534E0;1.854524551E0;-1.767042019E0
1.220228167E0;1.687103272E0;1.556704808E0;-1.418000666E0
1.230189167E0;1.547872881E0;1.029938505E0;-1.058655058E0
1.240151167E0;1.458721846E0;9.261638761E-1;-6.099777362E-1
1.250113167E0;1.545372027E0;1.139726996E0;-2.185724294E-1
1.260074167E0;1.580459999E0;1.311019424E0;3.306006959E-1
1.270036167E0;1.834871182E0;1.320165054E0;8.204698983E-1
1.279997167E0;2.094442534E0;1.355429027E0;1.285365350E0
1.289959167E0;2.200665684E0;1.482094336E0;1.901603408E0
1.299921167E0;2.168963835E0;1.849107690E0;2.206693579E0
1.309882167E0;2.059851575E0;2.184368910E0;2.034452586E0
1.319844167E0;1.814331083E0;2.481443717E0;1.593715929E0
1.329805167E0;1.698679005E0;2.699496914E0;1.110879757E0
1.339767167E0;1.772372633E0;2.997538851E0;4.993145022E-1
1.349729167E0;1.751842182E0;3.177959953E0;-5.106548846E-2
1.359690167E0;1.570494589E0;3.191568763E0;-4.767460039E-1
1.369652167E0;1.243404269E0;3.239383199E0;-6.870437461E-1
1.379613167E0;8.886159807E-1;3.390691599E0;-7.342272681E-1
1.389575167E0;7.329940903E-1;3.513029383E0;-6.055611880E-1
1.399537167E0;9.841556838E-1;3.329518028E0;-3.653837353E-2
1.409498167E0;1.464515267E0;2.927048328E0;9.649465571E-1
1.419460167E0;1.723202812E0;2.465891878E0;2.069961119E0
1.429421167E0;1.883746888E0;1.687254422E0;2.933261872E0
1.439383167E0;2.664905079E0;1.511864850E0;3.490980118E0
1.449344167E0;3.558830916E0;1.004314837E0;2.834013572E0
1.459306167E0;4.486219491E0;-3.986397743E-2;1.446965434E0
1.469268167E0;5.392933189E0;-6.953432840E-1;2.027814388E-3
1.479229167E0;5.947820506E0;-5.870265377E-1;-1.163494173E0
1.489191167E0;5.589632939E0;1.125039375E-1;-2.375777514E0
1.499152167E0;5.193520331E0;1.110282757E0;-3.213506346E0
1.509114167E0;4.997804668E0;1.723787826E0;-3.311845989E0
1.519076167E0;4.925260602E0;1.744628472E0;-2.880853862E0
1.529037167E0;4.606160795E0;1.381938549E0;-1.865583682E0
1.538999167E0;4.155596868E0;1.031119058E0;-4.695094898E-1
1.548960167E0;3.558041834E0;6.254439139E-1;7.318875048E-1
1.558921917E0;2.506362504E0;9.914188027E-2;1.275247328E0
1.568883917E0;1.286787978E0;-3.627349466E-1;1.339464374E0
1.578844917E0;4.039639565E-1;-6.148253703E-1;1.283403902E0
