"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.423460930E-1;-1.190890074E-1;8.411633968E-2;-1.190757751E-1
1.600717410E-1;-1.638148725E-1;1.724132299E-1;-5.069637299E-2
1.777963500E-1;-1.936522722E-1;9.515154362E-2;2.076663971E-1
1.955251710E-1;2.511171699E-1;5.691874027E-2;-2.140274048E-1
2.132423950E-1;2.633175850E-1;-2.003988028E-1;-7.140398026E-1
2.309782340E-1;2.249886990E-1;-5.971884727E-2;-1.139354706E-2
2.487049200E-1;8.112856746E-2;2.528846264E-2;3.749513626E-1
2.664284910E-1;-2.773621678E-2;-5.724012852E-2;1.691522598E-1
2.841556640E-1;-1.493181288E-2;-8.284282684E-2;2.524328232E-1
3.018733150E-1;4.260824621E-2;-6.365597248E-2;1.424989700E-1
3.196043940E-1;1.959171891E-1;-5.623221397E-2;-4.748020172E-1
3.373347410E-1;2.014794350E-1;-2.052539587E-1;-5.631618500E-1
3.550530640E-1;1.765570343E-1;-1.271561384E-1;-2.102928162E-1
3.727884160E-1;7.681624591E-2;2.749204636E-3;1.526641846E-2
3.905109500E-1;-2.231329679E-2;-2.899253368E-2;-2.779006958E-2
4.082392820E-1;-2.223807573E-2;-6.933605671E-2;7.401371002E-2
4.259652350E-1;-7.556080818E-3;-4.783487320E-2;1.971988678E-1
4.436946660E-1;2.808800340E-2;3.025400639E-2;-4.982376099E-2
4.614140260E-1;6.275154650E-2;1.834537983E-1;-2.401227951E-1
4.791437010E-1;-6.245613098E-2;3.875650167E-1;-7.587432861E-2
4.968700810E-1;-1.634788811E-1;3.419829607E-1;-2.378940582E-2
5.145960940E-1;-1.011256427E-1;3.171017170E-1;1.798629761E-2
5.323193600E-1;-1.080204546E-1;2.014669180E-1;6.010437012E-2
5.500429930E-1;2.166441679E-1;1.191399097E-1;-1.857852936E-2
5.677795050E-1;4.610129297E-1;-1.240992546E-1;3.765954971E-1
5.855009400E-1;6.686631441E-1;3.806030750E-2;3.943614960E-1
6.032270140E-1;2.651478946E-1;-2.141276002E-1;1.250619888E-1
6.209533940E-1;2.264938504E-1;-5.083775520E-2;-1.131992340E-1
6.386803220E-1;1.277313679E-1;1.606965065E-2;2.138786316E-1
6.564028560E-1;-3.987550735E-2;-5.907416344E-2;3.327178955E-1
6.741329590E-1;-3.375262022E-3;-5.646288395E-2;3.218240738E-1
6.918568970E-1;1.238999665E-1;-1.416563988E-2;5.335807800E-2
7.095839480E-1;2.677794993E-1;-2.479588985E-2;-2.072458267E-1
7.273102660E-1;4.189783335E-1;-5.959618092E-2;-4.218673706E-1
7.450329230E-1;5.708044767E-1;3.615677357E-2;-7.114353180E-1
7.627625980E-1;5.850585103E-1;1.114671230E-1;-9.030809402E-1
7.804884890E-1;3.629418612E-1;1.102784276E-1;-1.131914139E0
7.982150510E-1;1.141471863E-1;9.153509140E-2;-1.085589409E0
8.159411260E-1;3.649421334E-1;3.774943352E-1;-8.379335403E-1
8.336676270E-1;2.836446762E-1;4.193549156E-1;-6.073017120E-1
