"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.660312340E-1;1.595413685E-1;-7.148981094E-2;1.288471222E-1
1.843437340E-1;7.573080063E-2;-8.281326294E-2;2.684707642E-1
2.026562340E-1;9.702849388E-2;-4.697561264E-3;7.624912262E-2
2.209691000E-1;3.645634651E-2;1.801729202E-2;1.442575455E-1
2.392809890E-1;-1.976220608E-1;4.267692566E-4;2.886352539E-1
2.575947100E-1;4.982042313E-2;-3.749155998E-2;2.324619293E-1
2.759062950E-1;8.225989342E-2;-1.626968384E-1;8.458137512E-2
2.942084800E-1;-7.463288307E-2;-1.500909328E-1;-6.943607330E-2
3.125204910E-1;-2.476978302E-2;2.144789696E-2;-1.336879730E-1
3.308321980E-1;3.349232674E-2;-8.827114105E-2;-5.762767792E-2
3.491453080E-1;9.399390221E-2;-9.984970093E-2;3.995609283E-2
3.674591510E-1;7.317924500E-2;-6.545782089E-2;-1.670026779E-1
3.857809290E-1;1.887798309E-2;-3.899455070E-2;-2.175283432E-1
4.040935500E-1;-4.433226585E-2;-1.436533928E-1;-2.237119675E-1
4.224048300E-1;-1.823382378E-1;-1.347715855E-1;-3.018074036E-1
4.407124480E-1;-2.411520481E-1;-1.997828484E-2;-6.001462936E-1
4.590310500E-1;-2.196922302E-1;3.849816322E-2;-8.472700119E-1
4.773436110E-1;-1.793344021E-1;4.533219337E-2;-9.544639587E-1
4.956561110E-1;-1.636323929E-1;8.884906769E-3;-1.044096947E0
5.139687330E-1;-2.496700287E-1;8.515715599E-2;-1.128184319E0
5.322808060E-1;-3.300399780E-1;1.581549644E-1;-1.136250496E0
5.505933060E-1;-3.905808926E-1;-1.284308434E-1;-5.931177139E-1
5.689046460E-1;-3.579092026E-1;-1.536388397E-1;-1.983461380E-1
5.872175740E-1;-4.246296883E-1;-2.475640774E-1;-2.229909897E-1
6.055308060E-1;-6.812460423E-1;-1.694046259E-1;-5.169448853E-1
6.238432450E-1;-2.505803108E-1;1.235148907E-1;-5.089330673E-1
6.421557450E-1;-5.110979080E-3;2.579901218E-1;-1.046076775E0
6.604685500E-1;7.291188240E-1;1.049201846E0;-1.506236553E0
6.787736650E-1;6.244769096E-1;1.423387170E0;-1.698410988E0
6.970945270E-1;2.676649094E-1;1.062821746E0;-2.925237656E0
7.154058670E-1;-1.529245615E0;5.137658715E-1;-4.003592491E0
7.337186110E-1;-3.230951786E0;2.388856709E-1;-5.375169277E0
7.520337360E-1;-4.541866779E0;-1.249788404E-1;-5.194009304E0
7.703442220E-1;-3.523987770E0;-5.456162095E-1;-4.383771896E0
7.886555620E-1;-1.795517445E0;2.541888952E-1;-3.286900997E0
8.069685500E-1;-1.180100441E0;5.035042763E-1;-1.896965027E0
8.252805010E-1;1.335585117E0;9.241218567E-1;-3.826821327E0
8.435930620E-1;3.729158401E0;3.746616602E0;-1.454591751E0
8.619055620E-1;1.217148781E0;4.305481434E0;-8.005666733E-2
8.802154380E-1;-2.817839622E0;2.578531265E0;-1.086949825E0
8.985317220E-1;-4.349277496E0;1.254193306E0;-1.889184952E0
9.168402540E-1;-2.585523129E0;1.046993732E0;-1.096585751E0
9.351442100E-1;-3.078360558E-1;1.038105488E0;3.115191460E-1
9.534574420E-1;2.454867363E-1;6.318135262E-1;3.775854111E-1
9.717695760E-1;1.008598328E0;-2.379107475E-1;-9.237813950E-2
9.900818320E-1;1.506920815E0;-7.726130486E-1;1.123131752E0
1.008394637E0;1.285459518E0;-2.637032986E0;2.711787939E0
1.026706831E0;1.504933834E0;-3.521550655E0;3.423425436E0
1.045019515E0;1.757944584E0;-3.801496983E0;3.341107845E0
1.063332015E0;7.037239075E-1;-4.480858803E0;2.743821144E0
1.081644210E0;5.114555359E-2;-3.502121925E0;3.268995523E0
1.099959517E0;-1.824040413E-1;-3.145259857E0;2.902718067E0
1.118269088E0;7.481527328E-1;-2.592352867E0;2.230440378E0
1.136581344E0;1.782409430E0;-1.527052879E0;1.570549965E0
1.154895430E0;1.007957458E0;-1.618852615E0;2.126145363E-1
1.173208235E0;-5.250539780E-1;-2.067514420E0;-6.630389094E-1
1.191517989E0;-1.498060703E0;-2.499388695E0;-8.869352341E-1
1.209839949E0;-1.990620971E0;-2.906591415E0;-5.198588967E-1
1.228155318E0;-1.990928888E0;-2.258458138E0;2.341639400E-1
1.246469039E0;-8.617868423E-1;-1.855883598E0;5.521387458E-1
1.264766158E0;4.605352879E-1;-1.679048538E0;2.807707191E-1
1.283092757E0;8.711109161E-1;-1.475389481E0;1.346081495E-3
