"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
9.486743333E-1;7.855214996E0;-6.927593994E-1;7.507937164E0
9.587073333E-1;8.167016602E0;-9.422904968E-1;7.621850281E0
9.687393333E-1;8.555159454E0;-9.647438049E-1;7.228917389E0
9.787723333E-1;8.752898254E0;-9.232800293E-1;7.131320343E0
9.888043333E-1;8.881630554E0;-9.660910034E-1;7.107819214E0
9.988363333E-1;8.954978027E0;-1.064586182E0;7.255711670E0
1.008869333E0;8.945547638E0;-1.159039764E0;7.401807861E0
1.018901333E0;9.184750214E0;-1.379082184E0;7.285948792E0
1.028934333E0;9.259594574E0;-1.798060913E0;6.943311310E0
1.038966333E0;9.170829163E0;-2.271526337E0;6.464756470E0
1.048999333E0;8.856333160E0;-2.581232300E0;6.473288727E0
1.059031333E0;8.436755676E0;-2.458337860E0;6.579418030E0
1.069063333E0;8.402177582E0;-1.976040802E0;6.033952332E0
1.079096333E0;9.262288971E0;-1.667831726E0;5.326074371E0
1.089128333E0;9.362580414E0;-1.748813324E0;5.090015259E0
1.099161333E0;8.814570007E0;-2.278262329E0;4.853507080E0
1.109193333E0;8.560697937E0;-2.852468262E0;4.345463562E0
1.119226333E0;8.629554749E0;-3.156486053E0;3.956721954E0
1.129258333E0;9.150621185E0;-3.370840302E0;4.384831696E0
1.139291333E0;8.928632812E0;-3.163072357E0;5.010530548E0
1.149323333E0;8.729397125E0;-2.846780090E0;4.636757812E0
1.159355333E0;8.832682343E0;-2.788102112E0;4.022734680E0
1.169388333E0;8.907377014E0;-2.921774139E0;3.728296967E0
1.179420333E0;8.535400543E0;-3.019071808E0;3.488046570E0
1.189453333E0;7.932005310E0;-3.118614807E0;3.274740143E0
1.199485333E0;7.748037872E0;-3.123255157E0;2.882555695E0
1.209518333E0;8.057893524E0;-3.094514923E0;2.242037659E0
1.219550333E0;8.146658936E0;-3.187321930E0;1.770218811E0
1.229583333E0;8.322543182E0;-3.267854462E0;1.670825500E0
1.239615333E0;8.823850708E0;-2.876268768E0;1.704655151E0
1.249647333E0;9.211095428E0;-2.525697784E0;1.403182068E0
1.259680083E0;8.955277405E0;-2.556234283E0;9.657916260E-1
1.269712083E0;8.296647034E0;-2.524649963E0;4.019142151E-1
1.279745083E0;7.874824219E0;-2.584675140E0;-2.185455322E-2
1.289777083E0;7.626640320E0;-2.868484955E0;-1.546284485E-1
1.299810083E0;6.972949677E0;-3.092419281E0;2.143542480E-1
1.309842083E0;6.455326080E0;-3.216810608E0;5.701643372E-1
1.319874083E0;6.636000366E0;-3.205733643E0;8.258326721E-1
1.329907083E0;6.993157654E0;-3.099304962E0;7.402107239E-1
