"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1717337305.380;"2024-06-02 16:08:25.380 UTC+02:00"
"PAUSE";9.091603763E2;1717338214.540;"2024-06-02 16:23:34.540 UTC+02:00"
