t_Android;t_unix;x;y;z;a
358132165997230;1714924987655;2.437688;-6.745367;-6.11426;3
358132168444938;1714924987655;2.437688;-6.745367;-6.11426;3
358132170893532;1714924987655;2.437688;-6.745367;-6.11426;3
358132173342073;1714924987655;2.437688;-6.745367;-6.11426;3
358132175790511;1714924987656;2.437688;-6.745367;-6.11426;3
358132178239938;1714924987676;2.437688;-6.745367;-6.11426;3
358132180688480;1714924987676;2.437688;-6.745367;-6.11426;3
358132183088011;1714924987676;2.437688;-6.745367;-6.11426;3
358132185585511;1714924987676;2.8399813;-7.205088;-6.7893353;3
358132188034000;1714924987676;2.8399813;-7.205088;-6.7893353;3
358132190481761;1714924987676;2.8399813;-7.205088;-6.7893353;3
358132192930250;1714924987676;2.8399813;-7.205088;-6.7893353;3
358132195379625;1714924987676;2.8399813;-7.205088;-6.7893353;3
358132197828115;1714924987679;2.8399813;-7.205088;-6.7893353;3
358132200275875;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132202724469;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132205173792;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132207622282;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132210069990;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132212518584;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132214967907;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132217416396;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132219864157;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132222312646;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132224762073;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132227210511;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132229658271;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132232106865;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132234556188;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132237004678;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132239452386;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132241900980;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132244350303;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132246798792;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132249246553;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132251695146;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132254144469;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132256592907;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132259040667;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132261489261;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132263938584;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132266387073;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132268834782;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132271283375;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132273732698;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132276181188;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132278628948;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132281077542;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132283526865;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132285975355;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132288423063;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132290871657;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132293320980;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132295769469;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132298217178;1714924987789;2.8399813;-7.205088;-6.7893353;3
358132300665771;1714924987789;3.3954153;-7.8610206;-7.8236327;3
358132303115094;1714924987789;3.3954153;-7.8610206;-7.8236327;3
358132305563584;1714924987789;3.3954153;-7.8610206;-7.8236327;3
358132308011344;1714924987789;3.3954153;-7.8610206;-7.8236327;3
358132310459938;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132312909261;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132315357750;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132317805459;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132320254053;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132322703375;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132325151865;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132327599625;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132330048115;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132332497542;1714924987814;3.3954153;-7.8610206;-7.8236327;3
358132334945980;1714924987815;3.3954153;-7.8610206;-7.8236327;3
358132337393740;1714924987817;3.3954153;-7.8610206;-7.8236327;3
358132339842334;1714924987825;3.3954153;-7.8610206;-7.8236327;3
358132342291657;1714924987825;3.3954153;-7.8610206;-7.8236327;3
358132344740146;1714924987825;3.3954153;-7.8610206;-7.8236327;3
358132347187855;1714924987827;3.3954153;-7.8610206;-7.8236327;3
358132349636448;1714924987836;3.3954153;-7.8610206;-7.8236327;3
358132352085771;1714924987836;3.3954153;-7.8610206;-7.8236327;3
358132354534261;1714924987836;3.3954153;-7.8610206;-7.8236327;3
358132356982021;1714924987836;3.3954153;-7.8610206;-7.8236327;3
358132359430511;1714924987839;3.3954153;-7.8610206;-7.8236327;3
358132361879938;1714924987846;3.3954153;-7.8610206;-7.8236327;3
358132364328375;1714924987846;3.3954153;-7.8610206;-7.8236327;3
358132366776136;1714924987846;3.3954153;-7.8610206;-7.8236327;3
358132369224730;1714924987850;3.3954153;-7.8610206;-7.8236327;3
358132371674053;1714924987851;3.3954153;-7.8610206;-7.8236327;3
358132374122542;1714924987854;3.3954153;-7.8610206;-7.8236327;3
358132376570250;1714924987856;3.3954153;-7.8610206;-7.8236327;3
358132379018844;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132381468167;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132383916657;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132386364417;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132388812907;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132391262334;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132393710771;1714924987874;3.3954153;-7.8610206;-7.8236327;3
358132396158532;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132398607125;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132401056448;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132403504938;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132405952646;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132408401240;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132410850563;1714924987891;3.3954153;-7.8610206;-7.8236327;3
358132413299053;1714924987896;3.3954153;-7.8610206;-7.8236327;3
358132415746813;1714924987896;3.3954153;-7.8610206;-7.8236327;3
358132418195407;1714924987897;3.3954153;-7.8610206;-7.8236327;3
358132420644730;1714924987900;3.3954153;-7.8610206;-7.8236327;3
358132423093219;1714924987902;3.3954153;-7.8610206;-7.8236327;3
358132425540928;1714924987905;3.3954153;-7.8610206;-7.8236327;3
358132427989521;1714924987907;3.3954153;-7.8610206;-7.8236327;3
358132430438844;1714924987912;3.3954153;-7.8610206;-7.8236327;3
358132432887334;1714924987912;3.3954153;-7.8610206;-7.8236327;3
358132435335042;1714924987915;3.3954153;-7.8610206;-7.8236327;3
358132437783636;1714924987918;3.3954153;-7.8610206;-7.8236327;3
358132440232959;1714924987919;3.3954153;-7.8610206;-7.8236327;3
358132442681448;1714924987922;3.3954153;-7.8610206;-7.8236327;3
358132445129209;1714924987925;3.3954153;-7.8610206;-7.8236327;3
358132447577803;1714924987933;3.3954153;-7.8610206;-7.8236327;3
358132450027125;1714924987933;3.3954153;-7.8610206;-7.8236327;3
358132452475615;1714924987933;3.3954153;-7.8610206;-7.8236327;3
358132454923323;1714924987935;3.3954153;-7.8610206;-7.8236327;3
358132457371917;1714924987937;4.0585265;-8.349456;-8.862716;3
358132459821240;1714924987939;4.0585265;-8.349456;-8.862716;3
358132462269730;1714924987943;4.0585265;-8.349456;-8.862716;3
358132464717490;1714924987958;4.0585265;-8.349456;-8.862716;3
358132467165980;1714924987958;4.0585265;-8.349456;-8.862716;3
358132469615407;1714924987958;4.0585265;-8.349456;-8.862716;3
358132472063844;1714924987958;4.0585265;-8.349456;-8.862716;3
358132474511605;1714924987958;4.0585265;-8.349456;-8.862716;3
358132476960198;1714924987958;4.0585265;-8.349456;-8.862716;3
358132479409521;1714924987960;4.0585265;-8.349456;-8.862716;3
358132481858011;1714924987961;4.0585265;-8.349456;-8.862716;3
358132484305719;1714924987963;4.0585265;-8.349456;-8.862716;3
358132486754313;1714924987966;4.0585265;-8.349456;-8.862716;3
358132489203636;1714924987968;4.0585265;-8.349456;-8.862716;3
358132491652125;1714924987971;4.0585265;-8.349456;-8.862716;3
358132494099886;1714924987973;4.0585265;-8.349456;-8.862716;3
358132496548375;1714924987976;4.0585265;-8.349456;-8.862716;3
358132498997803;1714924987979;4.0585265;-8.349456;-8.862716;3
358132501446240;1714924987981;4.0585265;-8.349456;-8.862716;3
358132503894000;1714924987983;4.0585265;-8.349456;-8.862716;3
358132506342594;1714924987986;4.0585265;-8.349456;-8.862716;3
358132508791917;1714924987988;4.0585265;-8.349456;-8.862716;3
358132511240407;1714924987991;4.0585265;-8.349456;-8.862716;3
358132513688115;1714924987994;4.0585265;-8.349456;-8.862716;3
358132516136709;1714924987996;4.0585265;-8.349456;-8.862716;3
358132518586032;1714924987999;4.0585265;-8.349456;-8.862716;3
358132521034521;1714924988000;4.0585265;-8.349456;-8.862716;3
358132523482282;1714924988003;4.0585265;-8.349456;-8.862716;3
358132525930875;1714924988005;4.0585265;-8.349456;-8.862716;3
358132528380198;1714924988008;4.0585265;-8.349456;-8.862716;3
358132530828636;1714924988010;4.0585265;-8.349456;-8.862716;3
358132533276396;1714924988013;4.0585265;-8.349456;-8.862716;3
358132535724990;1714924988015;4.0585265;-8.349456;-8.862716;3
358132538174313;1714924988018;4.0585265;-8.349456;-8.862716;3
358132540622803;1714924988020;4.0585265;-8.349456;-8.862716;3
358132543070511;1714924988022;4.0585265;-8.349456;-8.862716;3
358132545519105;1714924988025;4.0585265;-8.349456;-8.862716;3
358132547968428;1714924988027;4.0585265;-8.349456;-8.862716;3
358132550416917;1714924988030;4.0585265;-8.349456;-8.862716;3
358132552864678;1714924988032;4.0585265;-8.349456;-8.862716;3
358132555313271;1714924988034;4.0585265;-8.349456;-8.862716;3
358132557762594;1714924988037;4.666602;-9.012567;-9.932906;3
358132560211084;1714924988040;4.666602;-9.012567;-9.932906;3
358132562658792;1714924988042;4.666602;-9.012567;-9.932906;3
358132565107386;1714924988045;4.666602;-9.012567;-9.932906;3
358132567556709;1714924988047;4.666602;-9.012567;-9.932906;3
358132570005198;1714924988049;4.666602;-9.012567;-9.932906;3
358132572452907;1714924988052;4.666602;-9.012567;-9.932906;3
358132574901500;1714924988054;4.666602;-9.012567;-9.932906;3
358132577350823;1714924988057;4.666602;-9.012567;-9.932906;3
358132579799313;1714924988061;4.666602;-9.012567;-9.932906;3
358132582247073;1714924988061;4.666602;-9.012567;-9.932906;3
358132584695667;1714924988064;4.666602;-9.012567;-9.932906;3
358132587144990;1714924988066;4.666602;-9.012567;-9.932906;3
358132589593480;1714924988069;4.666602;-9.012567;-9.932906;3
358132592041188;1714924988071;4.666602;-9.012567;-9.932906;3
358132594489782;1714924988074;4.666602;-9.012567;-9.932906;3
358132596939105;1714924988077;4.666602;-9.012567;-9.932906;3
358132599387594;1714924988079;4.666602;-9.012567;-9.932906;3
358132601835355;1714924988081;4.666602;-9.012567;-9.932906;3
358132604283844;1714924988083;4.666602;-9.012567;-9.932906;3
358132606733219;1714924988086;4.666602;-9.012567;-9.932906;3
358132609181709;1714924988088;4.666602;-9.012567;-9.932906;3
358132611629469;1714924988091;4.666602;-9.012567;-9.932906;3
358132614078063;1714924988094;4.666602;-9.012567;-9.932906;3
358132616527386;1714924988096;4.666602;-9.012567;-9.932906;3
358132618975875;1714924988099;4.666602;-9.012567;-9.932906;3
358132621423584;1714924988101;4.666602;-9.012567;-9.932906;3
358132623872178;1714924988103;4.666602;-9.012567;-9.932906;3
358132626321500;1714924988106;4.666602;-9.012567;-9.932906;3
358132628769990;1714924988108;4.666602;-9.012567;-9.932906;3
358132631217750;1714924988112;4.666602;-9.012567;-9.932906;3
358132633666240;1714924988113;4.666602;-9.012567;-9.932906;3
358132636115615;1714924988115;4.666602;-9.012567;-9.932906;3
358132638564105;1714924988118;4.666602;-9.012567;-9.932906;3
358132641011865;1714924988120;4.666602;-9.012567;-9.932906;3
358132643460459;1714924988123;4.666602;-9.012567;-9.932906;3
358132645909782;1714924988125;4.666602;-9.012567;-9.932906;3
358132648358271;1714924988130;4.666602;-9.012567;-9.932906;3
358132650805980;1714924988130;4.666602;-9.012567;-9.932906;3
358132653254573;1714924988133;4.666602;-9.012567;-9.932906;3
358132655703896;1714924988135;4.666602;-9.012567;-9.932906;3
358132658152386;1714924988137;4.666602;-9.012567;-9.932906;3
358132660600146;1714924988140;4.666602;-9.012567;-9.932906;3
358132663048636;1714924988143;4.666602;-9.012567;-9.932906;3
358132665498063;1714924988146;4.666602;-9.012567;-9.932906;3
358132667946500;1714924988147;4.666602;-9.012567;-9.932906;3
358132670394261;1714924988150;4.666602;-9.012567;-9.932906;3
358132672842855;1714924988152;4.666602;-9.012567;-9.932906;3
358132675292178;1714924988154;4.666602;-9.012567;-9.932906;3
358132677740667;1714924988157;4.666602;-9.012567;-9.932906;3
358132680188375;1714924988160;4.666602;-9.012567;-9.932906;3
358132682636969;1714924988163;4.666602;-9.012567;-9.932906;3
358132685086292;1714924988164;5.186144;-9.778569;-10.885549;3
358132687534782;1714924988167;5.186144;-9.778569;-10.885549;3
358132689982542;1714924988169;5.186144;-9.778569;-10.885549;3
358132692431032;1714924988171;5.186144;-9.778569;-10.885549;3
358132694880459;1714924988174;5.186144;-9.778569;-10.885549;3
358132697328896;1714924988177;5.186144;-9.778569;-10.885549;3
358132699776657;1714924988179;5.186144;-9.778569;-10.885549;3
358132702225250;1714924988182;5.186144;-9.778569;-10.885549;3
358132704674573;1714924988184;5.186144;-9.778569;-10.885549;3
358132707123063;1714924988186;5.186144;-9.778569;-10.885549;3
358132709570771;1714924988189;5.186144;-9.778569;-10.885549;3
358132712019365;1714924988192;5.186144;-9.778569;-10.885549;3
358132714468688;1714924988195;5.186144;-9.778569;-10.885549;3
358132716917178;1714924988197;5.186144;-9.778569;-10.885549;3
358132719364938;1714924988199;5.186144;-9.778569;-10.885549;3
358132721813532;1714924988201;5.186144;-9.778569;-10.885549;3
358132724262855;1714924988204;5.186144;-9.778569;-10.885549;3
358132726711344;1714924988206;5.186144;-9.778569;-10.885549;3
358132729159053;1714924988209;5.186144;-9.778569;-10.885549;3
358132731607646;1714924988211;5.186144;-9.778569;-10.885549;3
358132734056969;1714924988213;5.186144;-9.778569;-10.885549;3
358132736505459;1714924988216;5.186144;-9.778569;-10.885549;3
358132738953167;1714924988218;5.186144;-9.778569;-10.885549;3
358132741401761;1714924988221;5.186144;-9.778569;-10.885549;3
358132743851084;1714924988223;5.186144;-9.778569;-10.885549;3
358132746299573;1714924988226;5.186144;-9.778569;-10.885549;3
358132748747334;1714924988229;5.186144;-9.778569;-10.885549;3
358132751195928;1714924988234;5.186144;-9.778569;-10.885549;3
358132753645250;1714924988234;5.186144;-9.778569;-10.885549;3
358132756093740;1714924988235;5.186144;-9.778569;-10.885549;3
358132758541448;1714924988238;5.186144;-9.778569;-10.885549;3
358132760990042;1714924988240;5.186144;-9.778569;-10.885549;3
358132763439365;1714924988243;5.186144;-9.778569;-10.885549;3
358132765887855;1714924988260;5.186144;-9.778569;-10.885549;3
358132768335563;1714924988260;5.186144;-9.778569;-10.885549;3
358132770784157;1714924988260;5.186144;-9.778569;-10.885549;3
358132773233480;1714924988260;5.186144;-9.778569;-10.885549;3
358132775681969;1714924988260;5.186144;-9.778569;-10.885549;3
358132778129730;1714924988260;5.186144;-9.778569;-10.885549;3
358132780578323;1714924988271;5.186144;-9.778569;-10.885549;3
358132783027646;1714924988271;6.0433726;-10.535;-11.804991;3
358132785476136;1714924988271;6.0433726;-10.535;-11.804991;3
358132787923844;1714924988271;6.0433726;-10.535;-11.804991;3
358132790372438;1714924988271;6.0433726;-10.535;-11.804991;3
