"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.704182668E0;2.953257561E-1;3.463389874E-1;-4.368209839E-1
1.722494374E0;8.282172680E-2;4.520294666E-1;-6.531791687E-1
1.740806996E0;1.968591213E-1;8.762454987E-2;-8.470830917E-1
1.759117604E0;3.039689064E-1;1.390528679E-2;-9.003973007E-1
1.777429433E0;4.446009398E-1;5.093514919E-2;-1.062637329E0
1.795740956E0;3.324106932E-1;3.236953616E-1;-1.280050278E0
1.814052968E0;3.934576511E-1;4.027289748E-1;-6.876115799E-1
1.832364491E0;1.865674257E-1;1.957494617E-1;-4.427175522E-1
1.850676503E0;-1.255103350E-1;-1.458233595E-1;-5.468797684E-1
1.868989186E0;-2.538284063E-1;-1.699965596E-1;-8.775138855E-1
1.887299245E0;-3.155592680E-1;-1.586120129E-1;-1.309143066E0
1.905611318E0;-8.138679266E-1;-2.816477418E-1;-1.739927292E0
1.923918141E0;-1.267114520E0;-4.373814762E-1;-2.208467007E0
1.942234670E0;-5.025334358E-1;-3.981316388E-1;-2.104070663E0
1.960546132E0;2.772412300E-1;-1.426676512E-1;-1.698243141E0
1.978856679E0;5.470147133E-1;4.166951776E-2;-1.122300148E0
1.997169972E0;1.654670238E-1;3.313288093E-1;-1.059165001E0
2.015478505E0;-2.416274548E-1;2.290258408E-1;-1.106649399E0
2.033792897E0;2.384419441E-1;1.395738870E-1;-1.140662193E0
2.052100331E0;5.591855049E-1;1.288440675E-1;-1.382282257E0
2.070413807E0;5.485873222E-1;5.901377201E-1;-1.258545876E0
2.088728261E0;1.533699036E-2;9.105386138E-1;-4.231204987E-1
2.107042652E0;-9.012813568E-1;9.413135052E-1;-1.115331650E-1
2.125351735E0;-1.457202435E0;6.708482504E-1;-7.821340561E-1
2.143665394E0;-8.056602478E-1;-3.646624088E-2;-7.278871536E-1
2.161975392E0;1.119456291E-1;-5.563795567E-2;7.680816650E-1
2.180280446E0;1.003664017E0;-1.664932966E-1;1.959786892E0
2.198598866E0;1.174222469E0;3.168458939E-1;2.259108543E0
2.216909108E0;4.751114845E-1;4.162461758E-1;1.709882259E0
2.235221852E0;-2.452397346E-1;-8.579730988E-2;8.201370239E-1
2.253533315E0;-3.253335953E-1;-5.320696831E-1;-9.759140015E-2
2.271845387E0;7.279062271E-2;-7.116630077E-1;-6.209893227E-1
2.290156972E0;8.707294464E-1;-2.607054710E-1;-1.039791107E-2
2.308469960E0;1.116573334E0;-2.326951027E-1;4.174785614E-1
