"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.601487657E0;2.953994751E0;7.384986877E-1;3.703678250E-1
1.619799913E0;1.453744888E0;6.635417938E-1;2.729380131E-2
1.638110704E0;-1.422717094E0;2.950158119E-1;-8.294944763E-1
1.656422228E0;-2.871243000E0;3.987660408E-1;-6.736395359E-1
1.674733507E0;-3.103110313E0;6.062927246E-1;-2.185893357E-1
1.693044786E0;-1.311362743E0;1.630282402E0;-9.594703913E-1
1.711355151E0;-4.115400314E-1;1.660694122E0;4.986920953E-1
1.729667101E0;2.040064812E0;3.110905647E0;1.567057133E0
1.747978319E0;1.488599777E-1;2.046081066E0;-1.192663312E0
1.766289965E0;-1.197484970E0;2.065530777E0;-3.610850573E0
1.784600695E0;-6.824746132E-1;2.134883642E0;-2.422063947E-1
1.802913134E0;-1.675436497E0;4.558982849E-1;1.021630526E0
1.821218798E0;-1.617369652E0;-1.189136982E0;-5.064823627E-1
1.839534288E0;-3.323249817E-1;-6.260037422E-1;-1.880896091E-2
1.857845568E0;-1.007342339E-1;-9.035029411E-1;2.654362917E-1
1.876156603E0;-5.022473335E-1;1.721301079E-1;-5.159724951E-1
1.894467882E0;5.453915596E-1;8.859777451E-2;1.092839241E0
1.912779466E0;3.607330322E-1;-4.599847794E-1;7.257043719E-1
1.931091662E0;2.636561394E-1;-9.482040405E-1;8.307694793E-1
1.949401720E0;-5.523867607E-1;-1.393643379E0;8.576845527E-1
1.967712511E0;-3.710279465E-1;-2.199946404E0;1.331448674E0
1.986019213E0;1.369552612E-1;-2.877203465E0;2.027539253E0
2.004335192E0;6.305360794E-1;-2.672783375E0;6.498293281E-1
2.022648547E0;-5.551376343E-1;-1.788298130E0;-1.182894945E0
2.040957689E0;-8.672566414E-1;-6.452045441E-1;-8.691339493E-1
2.059254199E0;-1.223945618E-2;-4.200038910E-1;7.991933823E-2
2.077579698E0;1.432909012E0;-8.543109894E-1;-4.925599098E-1
2.095891222E0;6.995811462E-1;-8.727855682E-1;2.811578512E-1
2.114196397E0;-9.460072517E-1;-2.790031433E-1;4.131450653E-1
2.132513536E0;-9.365367889E-1;7.894039154E-2;-2.214497328E-1
2.150824816E0;-3.928995132E-2;5.186805725E-1;2.681117058E-1
2.169135851E0;1.450142860E-1;4.477405548E-1;4.138537645E-1
2.187447130E0;6.639475822E-1;7.540645599E-1;1.208531857E-1
2.205758470E0;9.394602776E-1;6.779756546E-1;1.760550737E-1
2.224069445E0;1.142673492E-1;8.848085403E-1;6.481224298E-1
2.242379564E0;2.133479118E-1;1.038713932E0;4.454634190E-1
2.260691942E0;6.056871414E-1;1.392948151E0;3.219847679E-1
2.279003038E0;7.018594742E-1;1.773547173E0;3.146764040E-1
2.297314562E0;7.421565056E-1;1.754194260E0;-1.540228128E-1
2.315625780E0;9.087173939E-1;9.672441483E-1;-2.278450727E-1
2.333926134E0;6.240131855E-1;2.715564251E0;-5.287727118E-1
2.352237474E0;-1.029309034E0;1.250912666E0;-3.125275373E-1
2.370548754E0;-2.059434175E0;-9.587039948E-1;1.328360915E0
2.388859911E0;-6.084921360E-1;1.046269417E0;9.136955142E-1
2.407171129E0;-6.259367466E-1;1.593234062E0;7.248473167E-1
2.425480822E0;-5.312751532E-1;3.325234890E0;6.110959053E-1
2.443806628E0;-8.333728313E-1;3.133950233E0;2.877725363E-1
2.462114794E0;-2.611318827E-1;2.340002060E0;-2.255070210E-2
2.480415759E0;2.464129686E0;1.155443192E-1;-2.472697496E-1
2.498733812E0;3.456928253E0;-3.516767502E0;8.765534759E-1
2.517054552E0;5.354435444E-1;-8.363620758E0;2.294054508E0
2.535362841E0;-1.815092206E0;-1.055027771E1;5.192955732E-1
2.553667040E0;-2.216014862E-1;-1.435783386E0;-5.816760063E-1
2.571983690E0;5.280625820E-1;1.704155922E0;4.641785622E-1
2.590293505E0;6.913357973E-1;1.678771973E-1;2.715817690E-1
2.608604845E0;2.215397358E-1;-4.354085922E-1;-1.360411644E-1
2.626911241E0;2.400724888E-1;9.643554688E-2;-2.936685085E-2
2.645227281E0;1.452255249E-1;-2.330369949E-1;5.136519670E-1
2.663534532E0;-2.666450739E-1;-3.480281830E-1;5.125321150E-1
2.681848253E0;-6.185430288E-1;7.916736603E-2;-6.487488747E-3
2.700160692E0;-8.350360394E-2;4.541616440E-1;1.350196600E-1
2.718471605E0;2.795757055E-1;-2.207756042E-2;1.350396872E-1
2.736783068E0;2.477511168E-1;-1.592035294E-1;1.703789234E-1
2.755088182E0;4.502729177E-1;-9.629058838E-2;2.533718348E-1
2.773405382E0;5.055416822E-1;9.041118622E-2;2.384368181E-1
2.791716783E0;6.216174364E-1;2.997350693E-1;1.263630390E-2
2.810027880E0;4.343295097E-1;5.763092041E-1;1.084990501E-1
2.828339220E0;2.367043495E-1;1.010885239E-1;1.823546886E-1
2.846650133E0;-5.189561844E-2;-1.993370056E-1;2.785010338E-1
2.864949816E0;-5.412470102E-1;-4.584436417E-1;-4.255187511E-2
2.883271350E0;-4.678118229E-1;-2.245426178E-2;-1.943740845E-1
2.901583605E0;-2.096199989E-2;1.083850861E-1;-2.603222132E-1
2.919895128E0;7.800924778E-2;-1.939201355E-1;-1.980364323E-1
2.938206224E0;1.584438086E-1;-2.378196716E-1;-2.954152822E-1
2.956517382E0;-1.766622066E-2;-2.321939468E-1;-4.496909380E-1
2.974828417E0;-1.888226271E-1;3.834905624E-1;-4.719429016E-1
2.993139757E0;7.624745369E-2;7.495164871E-1;-4.831521511E-1
3.011452501E0;4.957101345E-1;5.441045761E-1;-4.860161543E-1
3.029762377E0;9.527893066E-1;2.698259354E-1;-4.431949854E-1
3.048073595E0;7.850931883E-1;5.201911926E-2;-8.453011513E-2
3.066384630E0;3.784186840E-1;2.718229294E-1;-8.257746696E-2
3.084695665E0;-3.041255474E-2;-1.620044708E-1;-4.392514229E-1
3.103006700E0;7.545983791E-2;-2.066488266E-1;-7.998059988E-1
3.121317370E0;4.348874092E-2;5.642261505E-1;-6.472929716E-1
3.139627855E0;3.073296547E-1;1.070027351E0;-1.116774082E-1
3.157940233E0;1.037748098E0;1.043970108E0;5.070788860E-1
3.176251818E0;1.468498707E0;9.531736374E-1;1.034720182E0
3.194562792E0;1.593323231E0;5.814666748E-1;1.432903051E0
3.212875475E0;1.493250847E0;4.200630188E-1;1.623209000E0
3.231185106E0;1.075090289E0;6.281671524E-1;1.275771737E0
3.249496385E0;1.243886471E0;-5.344371796E-1;5.461767912E-1
3.267807665E0;1.611600876E0;-7.316875458E-1;6.858545542E-2
3.286118700E0;1.444072485E0;1.150169373E0;-3.518974781E-2
3.304427172E0;5.259723663E-1;-2.284679413E-1;3.322192729E-1
3.322729540E0;4.433244467E-1;-1.010636330E0;-1.090340018E-1
3.341055041E0;1.384602785E-1;-1.105198860E0;-8.529418111E-1
3.359366381E0;1.865466833E-1;4.324817657E-2;-1.097349405E0
3.377674974E0;1.042436004E0;5.273571014E-1;-3.132792711E-1
3.395981310E0;1.333380580E0;6.692762375E-1;3.475655317E-1
3.414297228E0;1.579767466E-1;4.013957977E-1;2.116763592E-2
3.432608446E0;-1.774275303E-2;7.387857437E-1;-7.258794308E-1
3.450919542E0;1.096827507E0;1.242590904E0;-6.233560443E-1
3.469230882E0;2.282357931E0;9.279575348E-1;-5.357447863E-1
3.487542040E0;1.696983695E0;2.139234543E-1;-5.674780607E-1
3.505852831E0;1.033066750E0;3.573331833E-1;-1.018494129E0
3.524156786E0;1.201053858E0;4.718580246E-1;-1.371283412E0
3.542475206E0;1.946288109E0;8.462085724E-1;-1.528070927E0
3.560786547E0;1.724079847E0;3.320436478E-1;-1.571024299E0
3.579095079E0;1.943220019E0;5.128040314E-1;-1.070069432E0
3.597408800E0;2.527818441E0;4.831619263E-1;-8.058438301E-1
3.615709276E0;2.545234203E0;7.347888947E-1;-7.703445554E-1
3.634019762E0;2.060529232E0;6.853904724E-1;-9.033033848E-1
3.652331530E0;1.612037897E0;6.470270157E-1;-1.457186818E0
3.670642198E0;1.008114934E0;7.123184204E-2;-1.887336969E0
3.688953661E0;8.495751023E-1;-1.385195732E0;-2.078092575E0
3.707265733E0;1.935290337E0;-2.737981796E0;-1.491116524E0
3.725576341E0;3.599184513E0;-2.146138191E0;-7.991063595E-1
3.743887560E0;4.206258774E0;1.002054214E-1;-8.617951274E-1
3.762209825E0;4.269712567E-1;-2.389523506E0;-1.816219091E-1
3.780522021E0;1.460173130E0;-3.193037987E0;1.781562567E0
3.798831896E0;5.006288052E0;-3.981291771E0;1.306852341E0
3.817143114E0;6.338315010E0;-2.465945244E0;-4.836244583E-1
3.835454393E0;2.762157440E0;2.528762817E-1;-1.508111835E0
3.853766894E0;3.703065813E-1;1.186286926E0;-7.357859612E-1
3.872076769E0;-1.154210091E0;1.589430809E0;-3.515258431E-2
3.890388842E0;-2.919510365E0;1.356754303E-1;-2.588214636E0
3.908699327E0;-4.182707787E0;-2.014787674E0;-4.059095383E0
3.927010546E0;-3.623281956E0;-1.945979118E0;-1.476962566E0
3.945321337E0;-2.086170435E0;-1.207573891E0;2.879299521E-1
3.963627855E0;-5.323144794E-1;-1.228980064E0;9.805814624E-1
3.981944200E0;5.701549649E-1;-1.880599022E0;9.526522160E-1
4.000254991E0;7.333403826E-1;-3.073241234E0;7.217872143E-1
4.018566210E0;1.075856209E0;-4.143830299E0;5.454572439E-1
4.036872911E0;2.615347385E0;-2.925700188E0;3.517410755E-1
4.055188829E0;3.001353741E0;-2.417182922E-2;2.242895126E0
4.073500109E0;6.066657305E-1;2.347512245E0;4.477788448E0
4.091809252E0;-1.495488167E0;7.152557373E-1;3.009382725E0
4.110122240E0;-8.548885584E-1;3.321707726E0;2.070620298E0
4.128433458E0;-2.111176968E0;3.874537468E0;1.537036180E0
4.146744738E0;-1.878851414E0;3.650541782E0;1.859513998E0
4.165050219E0;-1.204078078E0;3.378129959E0;2.079332352E0
4.183366869E0;-2.470911264E0;4.239166737E0;2.117468596E0
4.201678087E0;-1.290785074E-1;-3.659971237E0;2.064956665E0
4.219989366E0;6.707906723E-4;-1.923102379E0;1.489899158E-1
4.238300157E0;-2.241426706E0;4.791519642E0;-1.599323750E-1
4.256611620E0;3.743631840E-1;7.551274300E0;-6.099207401E-1
4.274919847E0;1.320041418E0;5.550830364E0;-1.049578905E0
4.293235155E0;6.250809431E-1;3.524140358E0;-1.722759247E0
4.311545214E0;1.025061727E0;2.292883396E0;-3.484900713E0
4.329856554E0;2.386630774E0;3.655366898E-1;-6.246944904E0
4.348171923E0;3.249365807E0;-1.944705963E0;-4.897267818E0
4.366475390E0;2.935546637E0;-3.603654861E0;-3.375962257E0
4.384789965E0;2.806052208E0;-3.985059738E0;-2.582978725E0
4.403100939E0;1.838005900E0;-1.107736588E0;-2.180792809E0
4.421399035E0;3.904988766E-1;-3.249368668E-1;-1.228709698E0
4.439723253E0;4.384899139E-1;-3.467084885E0;6.930031776E-1
4.458034777E0;-1.209678411E0;-6.184729576E0;4.732204914E0
4.476334154E0;-9.217399359E-1;-6.198739052E0;6.646532059E0
4.494657091E0;-1.539060831E0;-1.173430443E0;5.368854523E0
4.512968370E0;-2.453342438E0;2.237215042E0;1.103549480E0
4.531281175E0;-5.059957981E0;6.920938492E-1;2.115686178E0
4.549590441E0;-3.792757273E0;7.869434357E-2;2.446809292E0
4.567901720E0;-2.250829458E0;3.009986877E-1;2.281038284E0
4.586212999E0;-1.787822127E0;4.034309387E-1;3.029168129E0
4.604518054E0;-1.104278326E0;3.654537201E-1;2.913592100E0
