"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1715097875.097;"2024-05-07 18:04:35.097 UTC+02:00"
"PAUSE";7.111679898E2;1715098586.265;"2024-05-07 18:16:26.265 UTC+02:00"
