"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1717162145.191;"2024-05-31 15:29:05.191 UTC+02:00"
"PAUSE";9.004278109E2;1717163045.619;"2024-05-31 15:44:05.619 UTC+02:00"
