"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.650309742E0;6.724299431E0;9.103679657E-1;2.400950670E0
1.668620056E0;7.053326607E0;1.512030125E0;2.113747120E0
1.686930370E0;6.926293850E0;1.859686375E0;1.872248173E0
1.705241538E0;6.503054142E0;1.549060822E0;1.488914013E0
1.723544893E0;5.608172417E0;6.048212051E-1;1.424878359E0
1.741861494E0;4.919632912E0;-1.564188004E-1;1.996359706E0
1.760171930E0;4.611907005E0;-1.722564697E-1;2.258608103E0
1.778481694E0;4.183937550E0;-3.642482758E-1;1.841167450E0
1.796787613E0;3.766107082E0;-5.619440079E-1;2.108069181E0
1.815091152E0;3.991976738E0;-4.222135544E-1;2.107482433E0
1.833408973E0;4.243307590E0;-1.790809631E-2;1.488422155E0
1.851722277E0;4.191548824E0;-5.486583710E-2;9.226634502E-1
1.870033751E0;3.879088879E0;-1.309461594E-1;7.097380161E-1
1.888344309E0;3.538476706E0;-1.732625961E-1;3.799927235E-1
1.906654867E0;2.961804390E0;-8.283691406E-1;7.335170507E-1
1.924959077E0;2.901014805E0;-1.199114799E0;8.807557821E-1
1.943271527E0;5.249015331E0;-8.824491501E-1;2.836043119E0
1.961587394E0;6.724873066E0;7.418823242E-1;1.117513537E0
1.979898625E0;7.431228638E0;1.754654884E0;1.615480304E0
1.998206435E0;5.476919651E0;5.958700180E-1;1.895695210E0
2.016516383E0;4.549198151E0;-5.277271271E-1;1.418905258E0
2.034827063E0;4.977308273E0;-1.127281189E-1;5.487387180E-1
2.053138720E0;4.447001457E0;2.295484543E-1;9.169828892E-1
2.071447813E0;3.034458876E0;-2.469539642E-2;1.495443583E0
2.089757271E0;6.138830781E-1;2.197589874E-1;7.260396957E0
2.108068562E0;1.293276072E0;-3.682203293E-1;3.252665043E0
2.126378875E0;4.423200190E-1;3.241186142E-1;2.288274288E0
2.144689066E0;1.057772875E0;6.689167023E-2;4.605913162E0
2.162984853E0;5.390634060E0;-6.694221497E-1;5.955403328E0
2.181311220E0;6.920133114E0;3.519773483E-1;2.730745316E0
2.199620374E0;6.403854370E0;-1.224126816E-1;3.855524063E-1
2.217930382E0;4.624873161E0;-4.500961304E-1;-1.441562295E0
2.236241306E0;3.435363531E0;2.711095810E-1;-1.286881804E0
2.254551376E0;3.590330124E0;6.687431335E-1;-7.815002203E-1
2.272861629E0;2.644079447E0;2.548809052E-1;-1.676326036E0
2.291171942E0;2.182938099E0;-8.041172028E-1;-9.692152739E-1
2.309482500E0;7.481528521E-1;-1.417619705E0;1.934054971E0
2.327792814E0;2.609064817E0;-9.266576767E-1;1.782217264E0
2.346103433E0;2.532376051E0;-3.426704407E-1;8.592216969E-1
2.364407338E0;1.274058461E0;2.589006424E-1;5.185347795E-2
2.382723694E0;7.012567520E-1;1.102687836E0;-6.239449978E-1
2.401033336E0;1.367123246E0;7.807998657E-1;-3.691554666E-1
2.419344383E0;1.840751648E0;1.367082596E-1;2.294868827E-1
2.437654941E0;2.208504677E0;1.467618942E-1;-1.449159384E-1
2.455965315E0;2.219368219E0;4.853181839E-1;-6.660548449E-1
2.474275568E0;1.445333481E0;7.575063705E-1;-5.502684712E-1
2.492584966E0;1.592483401E0;7.156333923E-1;-2.750911713E-1
2.510896440E0;1.720736504E0;7.803344727E-1;1.512652636E-1
2.529208218E0;2.637320042E0;5.413980484E-1;1.431932330E0
2.547517067E0;2.267154932E0;-3.290596008E-1;2.366461277E0
2.565822925E0;6.427011490E-1;-9.147148132E-1;9.887342453E-1
2.584137878E0;-1.875000000E-1;-1.547463417E0;-3.221387863E-1
2.602439708E0;1.536834121E0;-8.198566437E-1;1.783354640E0
2.620758566E0;3.378787994E0;3.285598755E-1;4.499232292E0
2.639068941E0;3.108624697E0;-3.704586029E-1;4.468456268E0
2.657379072E0;2.165943623E0;-3.747253418E-1;4.108932018E0
2.675689752E0;2.224659204E0;2.962408066E-1;4.064865589E0
2.694001225E0;3.424758434E0;1.119935989E0;3.941955805E0
2.712310379E0;4.977100372E0;5.180759430E-1;3.618961334E0
2.730623562E0;6.751831055E0;4.527034760E-1;3.225322247E0
2.748931251E0;7.681797981E0;6.122407913E-1;5.382504940E0
2.767241564E0;5.850373268E0;-1.468589783E0;6.640103817E0
2.785551878E0;4.330775738E0;-3.361145973E0;5.392869949E0
2.803861826E0;4.948482990E0;-2.135375023E0;2.773227453E0
2.822173849E0;7.136025429E0;1.067147255E0;1.042659283E0
2.840482697E0;8.121296883E0;2.596305370E0;-6.515223980E-1
2.858793072E0;8.090429306E0;2.651283741E0;-2.614426851E0
2.877103691E0;8.134539604E0;3.388914585E0;-3.977171421E0
2.895414188E0;9.840279579E0;5.138879776E0;-4.738423347E0
2.913724563E0;1.107105732E1;5.923173428E0;-4.853087425E0
2.932034815E0;9.449229240E0;4.840897560E0;-4.896631241E0
2.950346106E0;7.544996738E0;4.343042850E0;-5.382462025E0
2.968655443E0;8.478713036E0;3.629126549E0;-4.605021000E0
2.986965817E0;4.749919891E0;1.202446938E0;-3.263572216E0
3.005271493E0;-2.391649246E0;-1.390784740E0;-1.799432278E0
3.023586750E0;-1.586916924E0;-2.160358429E0;6.785917282E-2
3.041885345E0;2.228558540E0;-4.263348579E-1;6.972813606E-1
3.060208172E0;3.235569477E0;6.173710823E-1;-1.386288166E0
3.078517874E0;3.351993084E0;7.188782692E-1;-1.034215927E0
3.096828127E0;4.947226524E0;1.968450546E-1;9.355921745E-1
3.115138441E0;7.558257580E0;8.393001556E-1;3.441836834E0
3.133442773E0;7.832092762E0;2.996115685E-1;4.387145996E0
3.151759068E0;4.655453205E0;-1.019740105E0;4.585829735E0
3.170069687E0;2.994321823E0;-1.881330490E0;4.357283592E0
3.188380001E0;2.525031090E0;-9.326176643E-1;3.483176231E0
3.206685676E0;3.600772381E0;2.530446053E-1;4.198043346E0
3.225000751E0;3.976400375E0;2.132567406E0;5.383972645E0
3.243307036E0;2.715822697E0;2.091591358E0;6.553468704E0
3.261621561E0;3.326482773E-1;1.345774174E0;6.755589962E0
3.279921438E0;-2.001482010E0;1.306085110E0;5.598617077E0
3.298230470E0;-2.696686268E0;1.335278511E0;3.592344522E0
3.316543775E0;-2.217577457E0;1.789292812E0;1.884901404E0
3.334862938E0;-1.728062630E-1;2.147828579E0;1.908787012E0
3.353173252E0;2.789340019E0;2.470830441E0;2.851545334E0
3.371483627E0;3.350969315E0;2.718368053E0;4.268863678E0
3.389794184E0;2.879336357E0;2.978218555E0;5.039743423E0
3.408104254E0;2.970341206E0;3.167696238E0;2.848071098E0
3.426414812E0;2.523287773E0;3.123209476E0;4.232645035E-2
3.444725064E0;2.642121315E-1;2.568949699E0;-7.947874069E-1
3.463036598E0;7.975077629E-1;2.536704540E0;3.040941477E0
3.481345935E0;2.748894691E-1;7.807464600E-1;3.299704075E0
3.499656005E0;-1.343750954E0;1.240220070E0;2.850316763E0
3.517966624E0;-1.707794189E0;2.146168709E0;2.532913923E0
3.536276877E0;-1.118515491E0;2.553284645E0;2.490550995E0
3.554587495E0;8.556790352E-1;2.769761086E0;3.276736498E0
3.572897565E0;2.658223629E0;3.094649315E0;4.600228310E0
3.591209344E0;3.437342644E0;2.484592915E0;3.993087530E0
3.609518681E0;2.274892330E0;1.463148594E0;3.476846218E0
3.627828750E0;1.652593136E0;5.451002121E-1;2.264168262E0
3.646134364E0;2.605487823E0;1.404800415E-1;2.298319817E0
3.664449622E0;3.626919746E0;5.070996284E-1;2.731256962E0
3.682759936E0;3.771364212E0;1.084512711E0;1.737008691E0
3.701069518E0;3.388940334E0;1.588058949E0;9.578067064E-1
3.719381112E0;3.337802887E0;1.876872540E0;7.728142738E-1
3.737691060E0;3.601069927E0;2.347248077E0;1.187820435E0
3.756001435E0;4.135883331E0;1.661243439E0;1.094079256E0
3.774305889E0;5.257945061E0;2.869701385E-1;1.424612880E0
3.792622367E0;6.290932655E0;-5.404262543E-1;2.880876303E0
3.810932742E0;5.898346901E0;-1.022295952E0;4.176160812E0
3.829242934E0;3.713067532E0;-4.453735352E-1;4.997180939E0
3.847553431E0;8.600635529E-1;3.686242104E-1;4.463631630E0
3.865863805E0;-1.300144196E-1;8.082480431E-1;4.429467201E0
3.884174302E0;4.356946945E-1;9.592280388E-1;4.915246964E0
3.902483151E0;-1.187098980E0;3.955574036E-1;4.754466534E0
3.920794869E0;-1.759032488E0;1.491357803E0;5.467091560E0
3.939104999E0;-1.881762981E0;2.731805325E0;5.785232067E0
3.957415618E0;-1.648634434E0;2.815589905E0;4.138622284E0
3.975725871E0;-8.915308714E-1;-6.366427422E0;4.877882004E-1
3.994036429E0;4.050873280E0;-1.949161720E1;-8.520178795E-1
4.012346804E0;6.004189014E0;-1.677714539E1;3.191929817E0
4.030657117E0;5.467931747E0;-8.752285004E0;6.925433159E0
4.048967797E0;2.806171179E0;-2.822478771E0;7.606508255E0
4.067277989E0;1.048541069E-1;3.851523399E-1;6.381497383E0
4.085588486E0;-1.242296696E0;2.448075294E0;4.706733704E0
4.103899776E0;-1.178694963E0;3.723247528E0;4.635334015E0
4.122197150E0;-5.456271172E-1;4.166481495E0;5.540417194E0
4.140519427E0;-6.798651218E-1;3.537186146E0;6.161534309E0
4.158829802E0;-2.110641479E0;2.437968254E0;6.391125679E0
4.177139993E0;-3.425167084E0;1.564733505E0;6.133658409E0
4.195450673E0;-4.829850674E0;1.287155151E-1;4.673575878E0
4.213761231E0;-5.132715225E0;-5.181970596E-1;1.364483833E0
4.232072705E0;-1.690350056E0;-4.778566360E-1;-3.039545536E0
4.250381859E0;5.032221317E0;-9.088344574E-1;-4.706212997E0
4.268692111E0;9.318296432E0;-3.400823593E0;-9.290695190E-3
4.286997603E0;1.172290230E1;-3.516151905E0;2.964001417E0
4.305312861E0;9.937015533E0;-9.897279739E-2;2.515043497E0
4.323622808E0;4.490614414E0;2.486630440E0;5.869517326E0
4.341933366E0;3.389351368E0;-7.522916794E-2;9.220252037E0
4.360245083E0;2.686051369E0;-6.056143761E0;9.926676750E0
4.378553933E0;-5.798816681E-3;-5.306378365E0;7.238265991E0
4.396864857E0;-3.117586613E0;-2.411183357E0;-1.974833250E0
4.415169067E0;-4.554370880E0;-1.352879524E0;-9.804599285E-1
4.433485484E0;-4.469897747E0;-1.730910301E0;4.146742821E0
4.451795981E0;-4.599104881E0;-2.892112732E0;4.784461498E0
4.470107210E0;-4.666245937E0;-3.217984200E0;4.207645893E0
4.488416914E0;-4.052534580E0;-1.538820267E0;3.882464170E0
4.506727228E0;-3.908430576E0;4.614048004E-1;4.169662476E0
4.525037480E0;-3.299915075E0;1.436461449E0;4.309077263E0
4.543343460E0;-2.994491577E0;1.285103798E0;5.019683838E0
4.561658169E0;-2.233007431E0;6.631460190E-1;5.606922626E0
4.579968482E0;-1.327831030E0;4.580869675E-1;5.900463581E0
