"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2.242630230E-1;2.931207791E-2;-4.899304390E0;8.432307243E0
2.267115650E-1;-1.839482337E-1;-5.021637440E0;8.762815475E0
2.291592210E-1;-2.629113793E-1;-5.234598637E0;9.133703232E0
2.316077630E-1;-3.514458239E-1;-5.454738140E0;9.653244972E0
2.340570860E-1;-2.700898647E-1;-6.127719879E0;1.166201973E1
2.365055750E-1;-8.075776696E-2;-7.556832790E0;1.512383556E1
2.389532840E-1;3.284149170E-1;-8.993423462E0;1.853301048E1
2.414018250E-1;7.929216027E-1;-9.337990761E0;1.908844376E1
2.438511480E-1;8.479565382E-1;-8.950352669E0;1.583719540E1
2.462996380E-1;8.647062778E-1;-8.483453751E0;1.224377441E1
2.487472940E-1;9.317052960E-1;-8.188837051E0;1.048893833E1
2.511958880E-1;9.460622668E-1;-7.813164234E0;1.039053345E1
2.536451590E-1;7.019943595E-1;-7.097112179E0;1.128604698E1
2.560937000E-1;2.638086975E-1;-6.120541096E0;1.225573826E1
2.585413570E-1;-9.272187948E-2;-5.007280350E0;1.274178028E1
2.609898980E-1;-2.940180898E-1;-3.939483404E0;1.282074356E1
2.634392210E-1;-2.964109182E-1;-3.020041227E0;1.285424328E1
2.658877630E-1;-5.204389244E-2;-2.170290232E0;1.291406345E1
2.683354190E-1;3.475574851E-1;-1.401595831E0;1.295952702E1
2.707839610E-1;8.838488460E-1;-7.001997232E-1;1.305045509E1
2.732332840E-1;1.479960799E0;-1.064806059E-1;1.307677555E1
2.756817730E-1;2.124228239E0;4.728815854E-1;1.315334606E1
2.781294300E-1;2.708376169E0;9.445667267E-1;1.334267807E1
2.805780230E-1;3.292523861E0;1.358824134E0;1.363460255E1
2.830273460E-1;3.584448338E0;1.657927036E0;1.417328644E1
2.854758360E-1;3.651447296E0;1.765604019E0;1.488664722E1
2.879234920E-1;3.634697676E0;1.797009826E0;1.528176212E1
2.903720860E-1;3.601198196E0;1.840080619E0;1.518604851E1
2.928213570E-1;3.546163082E0;1.945364833E0;1.480529118E1
2.952698980E-1;3.591626883E0;2.191825628E0;1.428814220E1
2.977175550E-1;3.704089403E0;2.558226585E0;1.390050507E1
3.001660960E-1;3.833600998E0;3.020340443E0;1.351017570E1
3.026154190E-1;3.981956005E0;3.458226919E0;1.329721451E1
3.050639090E-1;4.163810730E0;3.951447487E0;1.314616776E1
3.075116170E-1;4.314558506E0;4.377668858E0;1.305763340E1
3.099601590E-1;4.343571186E0;4.667499542E0;1.288774300E1
3.124094820E-1;4.374678135E0;4.815854549E0;1.269870949E1
3.148579710E-1;4.386641979E0;4.882853508E0;1.246152115E1
3.173056280E-1;4.384249210E0;4.844568729E0;1.223898888E1
3.197542210E-1;4.396213531E0;4.779962540E0;1.202333546E1
3.222034920E-1;4.403391838E0;4.672285080E0;1.176491070E1
3.246520340E-1;4.415356159E0;4.521238327E0;1.150618649E1
3.270996900E-1;4.412963390E0;4.348955154E0;1.135783195E1
3.295482320E-1;4.403391838E0;4.138386726E0;1.122144127E1
3.319975550E-1;4.427320004E0;3.953840256E0;1.115683460E1
3.344460440E-1;4.503890514E0;3.743271828E0;1.113769245E1
3.368937530E-1;4.551746845E0;3.592524052E0;1.113529968E1
3.393422940E-1;4.597210407E0;3.455834150E0;1.115683460E1
3.417916170E-1;4.637888432E0;3.362514019E0;1.116162014E1
3.442401070E-1;4.707280159E0;3.228515863E0;1.115683460E1
3.466877630E-1;4.747958183E0;3.075375319E0;1.118076324E1
3.491363570E-1;4.860421181E0;2.888436079E0;1.116640568E1
3.515856800E-1;5.006682396E0;2.819044113E0;1.108744240E1
3.540341690E-1;5.119144917E0;2.823829889E0;1.111376381E1
3.564818250E-1;5.176572800E0;2.699403048E0;1.121426201E1
3.589304190E-1;5.202893734E0;2.510370016E0;1.120469093E1
3.613796900E-1;5.183751106E0;2.436192513E0;1.114487076E1
