t_Android;t_unix;x;y;z;a
2422053020356481;1715087928120;-0.5879578;-1.3848315;-1.3150401;3
2422053022576451;1715087928125;-0.5879578;-1.3848315;-1.3150401;3
2422053024783116;1715087928125;-0.5879578;-1.3848315;-1.3150401;3
2422053026996983;1715087928129;-0.5879578;-1.3848315;-1.3150401;3
2422053029206639;1715087928129;-0.5879578;-1.3848315;-1.3150401;3
2422053031436253;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053033649999;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053035864537;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053038069371;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053040295506;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053042511326;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053044728307;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053046936985;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053049154637;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053051374119;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053053591526;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053055804417;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053058016270;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053060235630;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053062441075;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053064667820;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053066877415;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053069096531;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053071313878;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053073529392;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053075746494;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053077960362;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053080176793;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053082392552;1715087928181;-0.5879578;-1.3848315;-1.3150401;3
2422053084607457;1715087928193;-0.5879578;-1.3848315;-1.3150401;3
2422053086817601;1715087928193;-0.5879578;-1.3848315;-1.3150401;3
2422053089031956;1715087928193;-0.5879578;-1.3848315;-1.3150401;3
2422053091244420;1715087928193;-0.5879578;-1.3848315;-1.3150401;3
2422053093471775;1715087928193;-0.5879578;-1.3848315;-1.3150401;3
2422053095686375;1715087928194;-0.5879578;-1.3848315;-1.3150401;3
2422053097899632;1715087928197;-0.5879578;-1.3848315;-1.3150401;3
2422053100117833;1715087928199;-0.5879578;-1.3848315;-1.3150401;3
2422053102334324;1715087928204;-0.5879578;-1.3848315;-1.3150401;3
2422053104548924;1715087928204;-0.5879578;-1.3848315;-1.3150401;3
2422053106758457;1715087928205;-0.5879578;-1.3848315;-1.3150401;3
2422053108975133;1715087928207;-0.5879578;-1.3848315;-1.3150401;3
2422053111195592;1715087928209;-0.5879578;-1.3848315;-1.3150401;3
2422053113412389;1715087928215;-0.5879578;-1.3848315;-1.3150401;3
