"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
3.306975550E-1;-1.099525020E-2;-1.975021958E0;2.750034332E0
3.331460440E-1;4.886778072E-3;-1.988460541E0;2.719491959E0
3.355937530E-1;2.809897438E-2;-1.998234153E0;2.688949585E0
3.380422940E-1;5.986303091E-2;-2.001899242E0;2.658407211E0
3.404916170E-1;9.529217333E-2;-2.000677586E0;2.625421524E0
3.429401070E-1;1.392731816E-1;-1.992125630E0;2.589992285E0
3.453877630E-1;1.783674061E-1;-1.983573794E0;2.549676418E0
3.478363570E-1;2.223484069E-1;-1.970135093E0;2.505695343E0
3.502856800E-1;2.626643181E-1;-1.956696510E0;2.458049297E0
3.527341690E-1;2.993151546E-1;-1.943257809E0;2.405516624E0
3.551818250E-1;3.310792148E-1;-1.924932480E0;2.350540161E0
3.576304190E-1;3.603998721E-1;-1.902941942E0;2.291898966E0
3.600796900E-1;3.860554695E-1;-1.877286315E0;2.238144398E0
3.625282320E-1;4.080459774E-1;-1.851630807E0;2.186833143E0
3.649758880E-1;4.178195298E-1;-1.829640269E0;2.136743784E0
3.674244300E-1;4.263713956E-1;-1.808871388E0;2.093984365E0
3.698737530E-1;4.312581718E-1;-1.788102627E0;2.052446842E0
3.723222420E-1;4.239279926E-1;-1.753895164E0;2.010909081E0
3.747699500E-1;4.141544402E-1;-1.705027461E0;1.969371557E0
3.772184920E-1;3.970507085E-1;-1.639055848E0;1.935164094E0
3.796678150E-1;3.750602305E-1;-1.571862698E0;1.904621720E0
3.821163050E-1;3.445178568E-1;-1.519329786E0;1.877744436E0
3.845639610E-1;3.103103936E-1;-1.479013920E0;1.858197331E0
3.870125550E-1;2.761029601E-1;-1.458245158E0;1.848423839E0
3.894618250E-1;2.333436459E-1;-1.453358293E0;1.842315316E0
3.919103670E-1;1.954711229E-1;-1.452136636E0;1.847202063E0
3.943580230E-1;1.575985998E-1;-1.454580069E0;1.856975675E0
3.968065650E-1;1.270562261E-1;-1.461910248E0;1.876522779E0
3.992558880E-1;1.001789495E-1;-1.481457353E0;1.902178407E0
4.017044300E-1;7.941014320E-2;-1.511999726E0;1.931499004E0
4.041520860E-1;6.841489673E-2;-1.549872160E0;1.962041378E0
4.066006280E-1;6.474980712E-2;-1.595074892E0;1.996248841E0
4.090499500E-1;6.841489673E-2;-1.643942714E0;2.032899618E0
4.114984400E-1;8.429691941E-2;-1.697697282E0;2.067107201E0
4.139461480E-1;1.062874198E-1;-1.756338596E0;2.103757858E0
4.163946900E-1;1.380514801E-1;-1.819866657E0;2.140408754E0
4.188440130E-1;1.771457046E-1;-1.885838151E0;2.177059650E0
4.212925030E-1;2.223484069E-1;-1.949366331E0;2.212488890E0
4.237401590E-1;2.785463631E-1;-2.011672735E0;2.252804756E0
4.261887530E-1;3.408527672E-1;-2.077644348E0;2.291898966E0
4.286380230E-1;4.068242610E-1;-2.143615723E0;2.330993176E0
4.310865650E-1;4.789042473E-1;-2.213252306E0;2.367644072E0
4.335342210E-1;5.534276366E-1;-2.279376507E0;2.400629759E0
4.359827630E-1;6.267293096E-1;-2.342904568E0;2.429950476E0
4.384320860E-1;6.939224601E-1;-2.402767658E0;2.453162670E0
4.408806280E-1;7.574505806E-1;-2.462630749E0;2.470266342E0
4.433282840E-1;8.160919547E-1;-2.524937153E0;2.476374865E0
4.457768250E-1;8.698465228E-1;-2.593352079E0;2.477596521E0
