"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1718020061.149;"2024-06-10 13:47:41.149 UTC+02:00"
"PAUSE";8.042113168E2;1718020865.361;"2024-06-10 14:01:05.361 UTC+02:00"
