iso3	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
CRI	80	81	81	83	86	82	79	83	86	89	92	81	94	98	94	99	92	82	88	91	95	91	96	93	97	96	95	99	99	91	88	90	91	93	95	99	99	99	99	99	99	88	99
CIV	NA	NA	NA	NA	17	29	41	53	52	47	62	65	70	74	75	69	68	73	71	74	80	80	79	78	71	85	77	94	91	95	79	76	93	85	85	80	95	93	96	97	91	93	92
HRV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	98	98	99	99	98	97	96	98	97	99	98	98	98	99	99	99	99	99	99	99	99	98	98	99	98	98	98	98	97	97
CUB	99	97	97	96	97	98	98	96	99	98	98	98	98	97	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
CZE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	95	95	96	97	98	98	98	98	97	98	99	99	99	99	99	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRK	50	52	51	52	49	51	53	69	98	99	99	99	99	99	90	82	73	64	69	73	78	82	96	88	95	94	96	96	97	98	98	98	98	98	98	97	97	98	96	96	99	95	0
COD	57	61	62	65	62	57	51	57	59	55	65	21	32	43	46	34	25	25	25	30	57	43	50	61	68	72	72	76	79	83	83	65	83	85	80	79	83	85	86	84	83	67	77
DJI	NA	NA	5	36	36	37	38	42	87	80	81	66	51	51	51	51	51	43	35	26	34	38	52	63	71	80	88	90	90	90	90	89	87	86	99	92	90	92	93	95	77	61	61
DMA	65	57	48	99	84	90	87	98	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	99	90	98	99	99	98	98	97	98	98	98	97	95	98	98	89	93
DOM	29	34	38	41	43	51	54	57	60	63	70	74	78	82	86	90	79	88	86	99	90	98	97	95	97	96	95	92	92	96	98	99	99	99	99	99	99	99	99	99	85	99	99
