iso3	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
SOM	6	3	8	7	17	30	28	33	39	31	31	31	37	42	48	46	43	37	54	71	69	70	60	65	50	50	40	38	36	29	41	39	37	37	37	37	37	37	37	37	37	37	37
ZAF	NA	NA	NA	71	67	70	61	64	55	73	57	63	66	95	95	95	95	97	94	92	89	86	84	81	78	76	79	79	84	82	81	84	86	88	93	83	79	75	70	84	86	86	84
SSD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	65	58	55	55	52	65	66	66	69	71	72
LKA	61	58	65	64	67	71	79	76	81	90	84	88	87	88	86	90	88	96	90	97	98	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
PSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	91	95	89	92	91	92	97	96	99	98	99	99	99	99	99	98	98	98	99	99	99	99	99	99	99	99	99	99
SDN	2	3	3	5	8	12	22	43	54	75	77	78	68	66	60	63	71	70	61	66	56	67	65	69	66	72	77	83	88	82	90	92	92	93	95	88	96	97	88	92	92	80	80
SWE	3	4	6	10	16	16	14	14	14	13	13	12	13	13	13	14	14	15	16	16	16	16	16	17	18	20	21	23	23	21	23	23	24	27	26	24	26	25	26	25	26	24	24
SYR	35	36	37	45	49	53	98	71	87	98	92	95	92	91	91	91	91	91	91	91	91	91	90	90	90	90	91	93	93	95	97	90	82	84	81	66	72	78	79	84	74	76	76
TJK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	69	96	96	99	99	98	98	98	96	97	98	95	97	93	83	89	82	98	97	97	98	98	98	98	98	99	98	98	98	99
THA	68	71	73	75	76	80	83	93	91	98	99	99	99	99	99	98	98	99	99	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
TLS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	72	72	70	74	74	85	74	79	79	86	86	79	79	86	95	95	95	88	88	88
TGO	NA	44	48	51	55	54	53	95	91	94	99	96	92	89	86	83	79	76	70	81	84	83	81	79	91	96	96	91	92	91	97	97	97	97	82	93	93	89	97	98	96	98	91
TON	99	86	98	83	78	99	98	93	95	97	99	99	96	97	99	99	99	99	99	99	99	91	95	99	99	99	99	99	99	99	99	99	95	99	99	91	91	99	99	99	99	99	99
TUN	NA	NA	87	88	89	90	92	93	95	96	96	96	97	97	97	97	97	97	93	94	95	91	91	93	97	98	99	99	99	98	98	98	99	97	95	97	95	91	92	91	92	85	84
TUR	NA	42	47	65	71	76	82	87	97	95	93	91	89	90	91	90	89	89	91	93	96	95	89	88	85	88	88	94	96	96	97	96	96	96	95	96	96	93	96	96	96	95	98
TKM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	94	97	93	93	97	98	99	99	99	99	99	99	99	99	99	99	99	99	98	99	98	99	99	98	98	98	98	98	98	98
TUV	99	89	78	99	90	90	92	86	95	98	96	95	97	87	90	88	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
UGA	NA	18	23	28	32	37	51	61	70	72	75	77	79	82	84	83	82	82	75	80	82	83	85	87	88	90	83	87	86	90	86	97	95	93	91	95	94	89	88	88	91	83	82
UKR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	89	92	95	97	97	97	99	98	98	98	98	98	96	97	98	95	94	92	90	95	95	39	39	75	84	90	84	93	86	71
ARE	15	18	28	37	42	60	78	92	93	96	96	96	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	96	94	94	90	96	99	95	95	94	86	99	96
TZA	72	74	64	83	73	90	82	94	93	92	85	95	99	94	92	96	80	85	83	87	86	91	88	91	91	91	90	89	89	93	99	99	99	99	99	97	95	93	91	91	87	83	90
URY	56	76	76	99	93	92	92	98	98	99	99	99	99	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	99	98	98	98	98	99	99	99	97
UZB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	98	93	99	96	97	97	98	98	98	99	99	99	93	99	99	96	99	99	99	99	99	99	99	99	99	96	99	99	99	99
VUT	NA	32	61	58	64	83	75	79	73	80	96	99	84	96	82	67	72	78	78	79	79	79	80	80	80	81	81	83	85	86	88	90	92	93	95	95	94	95	94	97	77	76	81
VEN	72	77	76	82	92	89	86	63	76	88	82	90	85	81	95	91	90	89	82	98	99	93	90	91	96	95	83	82	90	91	92	95	96	95	97	99	97	94	92	91	82	68	68
VNM	NA	NA	NA	4	48	50	55	59	79	94	90	91	91	94	96	96	95	96	93	95	98	97	97	97	96	95	95	94	92	97	94	98	98	95	96	97	95	97	95	96	95	88	88
YEM	9	12	13	15	16	20	23	30	52	75	95	63	54	57	41	60	58	54	66	79	82	78	73	66	64	66	67	64	60	58	65	59	64	71	73	47	73	66	64	69	71	70	73
ZMB	NA	72	70	68	71	92	95	97	97	97	97	95	94	92	98	97	96	95	95	95	94	94	94	93	93	92	92	91	91	92	92	92	92	95	99	97	99	99	91	95	85	92	85
ZWE	NA	64	65	67	69	76	94	94	89	90	91	91	91	95	95	96	96	92	88	86	84	82	80	78	76	80	84	87	91	90	99	98	98	95	99	90	95	95	95	95	88	88	96
