"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
8.746843333E-1;-2.263585925E-1;-4.408014774E0;1.873546720E0
8.847163333E-1;-3.016363084E-1;-4.698544025E0;1.847747684E0
8.947493333E-1;-3.887536228E-1;-4.470761299E0;1.636860728E0
9.047813333E-1;-4.780901372E-1;-3.723572493E0;1.416711211E0
9.148143333E-1;-5.167281032E-1;-2.850670576E0;1.266750455E0
9.248463333E-1;-5.133733749E-1;-2.007880211E0;1.208762527E0
9.348793333E-1;-4.947461784E-1;-1.318261385E0;1.308254242E0
9.449113333E-1;-4.053518176E-1;-9.739672542E-1;1.523502111E0
9.549433333E-1;-2.620010376E-1;-9.594191909E-1;1.726029158E0
9.649763333E-1;-1.039452925E-1;-1.234568477E0;1.820467234E0
9.750083333E-1;6.862328202E-2;-1.585965633E0;1.797886252E0
9.850413333E-1;2.561450601E-1;-1.949887872E0;1.721539140E0
9.950733333E-1;4.554861486E-1;-2.137233496E0;1.634430647E0
1.005106333E0;6.089042425E-1;-1.975824594E0;1.540398717E0
1.015138333E0;7.102673054E-1;-1.644446611E0;1.401898623E0
1.025170333E0;7.856059074E-1;-1.399545431E0;1.263746142E0
1.035203333E0;8.529478908E-1;-1.377352476E0;1.158140659E0
1.045235333E0;9.211377501E-1;-1.418667674E0;1.116345286E0
1.055268333E0;9.628489614E-1;-1.502990961E0;1.106598854E0
1.065300333E0;9.262109995E-1;-1.536242485E0;1.052343011E0
1.075333333E0;8.035524487E-1;-1.571089864E0;9.340861440E-1
1.085365333E0;6.383970976E-1;-1.637073398E0;9.519515634E-1
1.095398333E0;4.285623133E-1;-1.599171758E0;1.106128812E0
1.105430333E0;1.698696762E-1;-1.493796468E0;1.295044541E0
1.115462333E0;-7.423780859E-2;-1.391670346E0;1.406473875E0
1.125495333E0;-2.043867558E-1;-1.446494460E0;1.408144236E0
1.135527333E0;-2.389465868E-1;-1.680294752E0;1.383650541E0
1.145560333E0;-2.955893874E-1;-1.839364290E0;1.315753698E0
1.155592333E0;-3.939974606E-1;-1.827243209E0;1.216466546E0
1.165625333E0;-5.101404786E-1;-1.634779572E0;1.150313616E0
1.175657333E0;-6.343033910E-1;-1.404171109E0;1.249378920E0
1.185690333E0;-7.228903770E-1;-1.233867168E0;1.475871563E0
1.195722333E0;-7.989910245E-1;-1.364825368E0;1.676246285E0
1.205754333E0;-8.731333017E-1;-1.790004492E0;1.750219584E0
1.215787333E0;-9.374694228E-1;-2.335625887E0;1.764096975E0
1.225819333E0;-1.001264691E0;-2.708412170E0;1.709048390E0
1.235852333E0;-1.108286500E0;-2.868206978E0;1.558575034E0
1.245884333E0;-1.234420538E0;-2.870021820E0;1.382745743E0
1.255917083E0;-1.347818732E0;-2.752450705E0;1.283372521E0
1.265949083E0;-1.412076950E0;-2.628417730E0;1.272253036E0
1.275981083E0;-1.382861018E0;-2.518423557E0;1.328431964E0
1.286014083E0;-1.250320673E0;-2.441446304E0;1.475434899E0
1.296046083E0;-1.025571227E0;-2.381522417E0;1.736759663E0
1.306079083E0;-7.134476304E-1;-2.311157703E0;2.044521332E0
1.316111083E0;-3.751579523E-1;-2.158338308E0;2.326900244E0
1.326144083E0;-3.728783131E-2;-1.976952195E0;2.530647039E0
1.336176083E0;2.889307439E-1;-1.695841908E0;2.665310383E0
1.346209083E0;6.028151512E-1;-1.441521287E0;2.772685289E0
1.356241083E0;8.974174857E-1;-1.335136056E0;2.829927444E0
1.366273083E0;1.136778951E0;-1.284821391E0;2.771344900E0
1.376306083E0;1.315835834E0;-1.210674763E0;2.625063419E0
1.386338083E0;1.430761099E0;-1.174116969E0;2.428943872E0
1.396371083E0;1.460756063E0;-1.200875044E0;2.164105892E0
1.406403083E0;1.429200530E0;-1.285047889E0;1.884439349E0
1.416436083E0;1.350798130E0;-1.403294921E0;1.691726923E0
1.426468083E0;1.226926327E0;-1.379859686E0;1.569894075E0
1.436500083E0;1.045890570E0;-1.174558520E0;1.458343267E0
1.446533083E0;8.200573325E-1;-9.710322618E-1;1.376797795E0
1.456565083E0;5.608742833E-1;-1.025549531E0;1.378696322E0
1.466598083E0;3.027628362E-1;-1.299678922E0;1.481619358E0
1.476630083E0;7.868019491E-2;-1.620844126E0;1.619970560E0
1.486663083E0;-9.942719340E-2;-1.761824012E0;1.698559642E0
1.496695083E0;-2.259643674E-1;-1.634584069E0;1.688379169E0
1.506728083E0;-3.175952733E-1;-1.419094682E0;1.633930564E0
1.516760083E0;-3.689380884E-1;-1.224017382E0;1.550712824E0
1.526792083E0;-3.264975250E-1;-9.469390512E-1;1.415319324E0
1.536825083E0;4.471814036E-1;-4.250753522E-1;1.263221025E0
1.546857083E0;7.684525847E-1;-5.228231475E-2;1.019664168E0
1.556890083E0;8.129809499E-1;3.610554636E-1;7.813963890E-1
1.566922083E0;7.839712501E-1;1.013951898E0;7.322106361E-1
1.576955083E0;6.129113436E-1;1.575276136E0;7.746773958E-1
