"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.443199861E0;-1.651465893E-2;-4.800617695E-2;-3.245048523E-1
1.460916231E0;2.386730909E-1;-1.842545271E-1;-3.349142075E-1
1.478644319E0;4.408905506E-1;-7.650303841E-2;-8.861265182E-1
1.496371553E0;9.263968468E-2;-2.978968620E-1;-4.370803833E-1
1.514091035E0;-1.330449581E-1;8.151054382E-3;-1.068820953E-1
1.531817171E0;-1.293588877E-1;1.346807480E-1;-3.091506958E-1
1.549540010E0;-1.431713104E-1;1.000812054E-1;-2.836542130E-1
1.567266756E0;-1.786860228E-1;5.581986904E-2;9.990692139E-2
1.584987764E0;8.424913883E-2;-2.218031883E-2;-6.409311295E-1
1.602710664E0;-2.640219927E-1;-1.486978531E-1;-2.831010818E-1
1.620433320E0;3.926401138E-1;1.096177101E-2;-1.505861282E-1
1.638158846E0;1.247694373E0;-1.194835901E-1;-1.522670746E0
1.655881624E0;-6.641149521E-4;-1.390719414E-2;-6.472263336E-1
1.673605806E0;3.538407087E-1;1.938239336E-1;-1.240574837E0
1.691326509E0;1.945199966E-1;3.159080744E-1;-1.543486595E0
1.709052645E0;-9.450531006E-2;5.119335651E-2;-1.401715279E0
1.726774080E0;6.123398542E-1;3.128684759E-1;-1.234169006E0
1.744494173E0;2.153170586E0;2.363038540E0;-1.157591820E0
1.762222017E0;1.027924895E0;-1.043289900E-1;-1.876473427E0
1.779947054E0;1.283128262E-1;-1.721716046E0;-1.713175297E0
1.797665925E0;2.084872723E-1;-1.797658205E0;-1.977112293E0
1.815392793E0;4.915907383E-1;-1.321409345E0;-2.875630379E0
1.833116182E0;7.275207043E-1;-1.020819306E0;-3.078241348E0
1.850840608E0;1.617922783E-1;-1.233444810E0;-2.397371292E0
1.868565889E0;1.469088316E0;-1.508156419E0;3.516653061E0
1.886287690E0;4.346055984E-1;-2.448956251E0;1.226072311E0
1.904008943E0;1.163551807E0;-1.396981478E0;1.295614243E-1
1.921734529E0;-1.643612146E0;-1.949108243E0;3.600374222E0
1.939456025E0;-1.758553505E0;-1.881998777E0;-2.704916000E0
1.957184297E0;-1.532022953E-1;-4.793968201E-1;-1.784033775E0
1.974902681E0;1.948966980E-1;1.106998920E-1;1.022240639E0
1.992628816E0;-1.899671555E-2;-3.534018993E-1;2.248536110E0
2.010339388E0;-1.635820866E-1;-5.969150066E-1;2.006008148E0
2.028074251E0;-7.244393826E-1;-3.387830257E-1;4.008083344E-1
2.045792940E0;-8.386132717E-1;1.460790634E-1;6.214714050E-2
2.063523347E0;-3.876965046E-1;6.417787075E-1;1.985464096E-1
2.081243135E0;2.391226292E-1;5.806140900E-1;-4.551382065E-1
2.098969392E0;1.213438511E-1;1.005207062E0;1.503147125E0
2.116679903E0;6.554632187E-1;7.457489967E-1;1.878675461E0
2.134418001E0;1.123944759E0;5.265347362E-1;1.479049683E0
2.152138338E0;5.654382706E-1;7.376103997E-1;5.358810425E-1
2.169858980E0;-1.859831810E-1;8.070063591E-1;-3.612518311E-3
2.187585176E0;-1.037751675E0;1.949210763E-1;-1.355806351E0
2.205309297E0;-1.497793198E0;-5.544469953E-1;-2.446667194E0
2.223036836E0;-3.537814617E-1;-3.668968081E-1;-2.507502079E0
2.240755831E0;6.297626495E-1;9.276624322E-1;-1.141215801E0
2.258479402E0;4.805188179E-1;1.351988435E0;-1.660804749E-1
2.276202669E0;-3.309659958E-1;1.033842564E0;-6.387481689E-1
2.293930147E0;-7.969307899E-1;-3.054948449E-1;-2.092740059E0
2.311647249E0;-6.527471542E-2;-9.550939798E-1;-2.592305183E0
2.329373201E0;9.161248207E-1;-4.029730558E-1;-1.455423832E0
2.347090120E0;4.921312332E-1;3.790197372E-1;-1.301727295E-1
2.364820101E0;-5.591964722E-1;-2.875961065E-1;-7.534170151E-2
2.382543428E0;-1.489513874E0;-8.384375572E-1;-8.682403564E-1
2.400269929E0;-1.048619270E0;-4.071598053E-1;-1.834581375E0
2.417986788E0;2.826309204E-1;7.342464924E-1;1.738486290E-1
2.435713777E0;8.704528809E-1;1.101120949E0;1.511583805E0
2.453436006E0;3.775038719E-1;8.569302559E-1;1.716809273E0
2.471162019E0;-9.412550926E-1;-4.455971718E-1;1.049296856E0
2.488883515E0;-1.499806881E0;-1.271373034E0;-4.333744049E-1
2.506604951E0;-8.475070000E-1;3.219156265E-1;-1.206176758E0
2.524329317E0;4.537682533E-1;1.433318377E0;-1.087321758E0
2.542054842E0;1.599209785E0;1.165239573E0;-2.847783566E-1
2.559777925E0;1.126916409E0;2.380576134E-1;-3.557348251E-2
2.577500520E0;9.764785767E-1;-2.904968262E-1;7.846803665E-1
2.595225130E0;2.101209641E0;-4.615283012E-1;2.286045074E0
2.612951631E0;3.425304890E0;-5.111389160E-1;3.088009834E0
2.630669161E0;4.164986134E0;-5.388784409E-2;3.101384163E0
2.648395540E0;4.830963612E0;4.864821434E-1;1.912095070E0
2.666119051E0;5.008823872E0;9.798474312E-1;2.356137037E-1
2.683825105E0;4.498374462E0;9.153838158E-1;-7.318867445E-1
2.701570039E0;3.144633770E0;1.642704010E-1;-1.078799725E0
2.719285798E0;1.244510651E0;-5.821113586E-1;-9.968473315E-1
2.737006990E0;-1.037964821E-1;-1.542396545E-1;-1.154382944E0
2.754735993E0;-7.269954681E-2;6.452727318E-1;-1.448509216E0
2.772463533E0;5.978703499E-1;3.048191071E-1;-2.516536951E0
2.790186311E0;2.491269112E-1;-2.363681793E-2;-3.185916424E0
2.807899874E0;-1.482324600E-1;-1.266028881E0;-2.200963974E0
2.825627473E0;9.908437729E-2;-1.638053894E0;-5.990295410E-1
2.843352632E0;4.974303246E-1;-2.298454285E0;5.976548195E-1
2.861070527E0;8.895096779E-1;-2.451991558E0;1.053164363E0
2.878803193E0;8.279662132E-1;-2.193718910E0;8.390754461E-1
2.896524202E0;1.206516266E0;-1.847539425E0;1.250724554E0
2.914245881E0;2.886685848E0;-1.249527454E0;2.676180840E0
2.931970918E0;3.090603352E0;-1.700797081E0;3.866680622E0
2.949694551E0;1.979987621E0;-1.735585690E0;2.190127611E0
2.967420015E0;6.971011162E-1;-1.697759151E0;-4.563567638E-1
2.985142549E0;-1.836433411E-1;-2.160198689E0;-2.934375763E0
3.002861238E0;1.592159271E-2;-2.229225636E0;-1.017946720E0
3.020588350E0;1.476125240E0;-9.467515945E-1;1.464166403E0
3.038312532E0;2.997323513E0;-4.422755241E-1;3.461671114E0
3.056036409E0;2.461047649E0;-5.987133980E-1;5.373655319E0
3.073759980E0;1.257157326E-1;-4.419393539E-1;-4.458382130E-1
3.091477449E0;-3.684144020E0;-5.019469261E-1;-9.608766556E0
