"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
7.420711666E-1;8.946596980E-1;-3.459700584E0;4.707448006E0
7.520331667E-1;1.153759480E0;-3.560144663E0;4.546364307E0
7.619941666E-1;1.387684822E0;-3.648201704E0;4.330462456E0
7.719561667E-1;1.371568084E0;-3.600628614E0;4.224659443E0
7.819171667E-1;9.261752963E-1;-3.225366354E0;4.336019516E0
7.918791667E-1;1.228933409E-1;-2.501228333E0;4.578554630E0
8.018411667E-1;-9.268472791E-1;-1.630199075E0;4.770035744E0
8.118021666E-1;-2.026547909E0;-7.784349918E-1;4.842786789E0
8.217641667E-1;-2.963835478E0;-4.246244207E-2;4.771977901E0
8.317251666E-1;-3.561555386E0;4.201792479E-1;4.599218369E0
8.416871667E-1;-3.731337070E0;4.649307132E-1;4.322551250E0
8.516491667E-1;-3.449557781E0;1.304668933E-1;3.972945929E0
8.616101667E-1;-2.776981831E0;-2.715833485E-1;3.571193933E0
8.715721667E-1;-1.913856387E0;-4.565549791E-1;3.085587502E0
8.815331666E-1;-1.178766131E0;-4.563051760E-1;2.585202456E0
8.914951667E-1;-7.267047167E-1;-3.013757467E-1;2.180339336E0
9.014571666E-1;-4.953828156E-1;-1.334743015E-2;1.911648989E0
9.114181667E-1;-3.897489607E-1;3.526747227E-1;1.780401945E0
9.213801667E-1;-3.772318363E-1;7.620207071E-1;1.690599561E0
9.313411667E-1;-4.167705178E-1;1.175044298E0;1.606629252E0
9.413031667E-1;-4.618580937E-1;1.540801525E0;1.506428361E0
9.512651666E-1;-5.326993465E-1;1.864204168E0;1.372731686E0
9.612261667E-1;-6.228777170E-1;2.133773804E0;1.178705215E0
9.711881666E-1;-7.481380105E-1;2.352129221E0;9.763394594E-1
9.811491667E-1;-9.062541127E-1;2.526132107E0;8.491322398E-1
9.911111667E-1;-1.039229274E0;2.621079922E0;8.548479080E-1
1.001073167E0;-1.094973564E0;2.562239885E0;9.748696685E-1
1.011034167E0;-1.021822929E0;2.348762512E0;1.164735436E0
1.020996167E0;-8.145661354E-1;2.035152912E0;1.375260949E0
1.030957167E0;-4.886504412E-1;1.644225955E0;1.542884231E0
1.040919167E0;-9.347409010E-2;1.268325090E0;1.656499743E0
1.050881167E0;3.107243478E-1;9.943990111E-1;1.710713625E0
1.060842167E0;6.750208735E-1;8.470929265E-1;1.695002079E0
1.070804167E0;9.896694422E-1;7.834812999E-1;1.631641030E0
1.080765167E0;1.252741814E0;7.657268047E-1;1.527655005E0
1.090727167E0;1.455526948E0;7.299656272E-1;1.359041452E0
1.100689167E0;1.596484065E0;6.747202277E-1;1.169629455E0
1.110650167E0;1.657415390E0;6.112098694E-1;1.005620599E0
1.120612167E0;1.620598435E0;5.767959356E-1;8.993583918E-1
1.130573167E0;1.453322291E0;7.098320127E-1;8.436824083E-1
1.140535167E0;1.122014642E0;9.273403287E-1;8.566730022E-1
1.150497167E0;6.389153004E-1;1.199510574E0;8.645414114E-1
1.160458167E0;1.373312771E-1;1.408882380E0;9.185761809E-1
1.170420167E0;-3.054027259E-1;1.361226201E0;9.278383851E-1
1.180381167E0;-6.158466339E-1;1.107891917E0;8.834013939E-1
1.190343167E0;-8.144128323E-1;8.402176499E-1;8.612019420E-1
1.200305167E0;-8.984201550E-1;5.999136567E-1;8.789423108E-1
1.210266167E0;-9.076203108E-1;3.595191836E-1;8.578713536E-1
1.220228167E0;-9.135966897E-1;1.141168848E-1;8.520318866E-1
1.230189167E0;-9.035922885E-1;-7.180591673E-2;8.549115062E-1
1.240151167E0;-8.686622977E-1;-2.329892069E-1;8.636440039E-1
1.250113167E0;-8.066933751E-1;-3.423378766E-1;8.795300722E-1
1.260074167E0;-7.143315077E-1;-4.128162861E-1;8.577803373E-1
1.270036167E0;-5.659894347E-1;-4.718071818E-1;7.913762331E-1
1.279997167E0;-3.418122828E-1;-4.984558523E-1;7.297083735E-1
1.289959167E0;-6.200355664E-2;-4.584347904E-1;6.853034496E-1
1.299921167E0;2.122812569E-1;-3.574783504E-1;6.339411736E-1
1.309882167E0;4.191829264E-1;-2.499951273E-1;5.625248551E-1
1.319844167E0;5.595293641E-1;-1.386709958E-1;4.816379547E-1
1.329805167E0;6.398730874E-1;-4.561712220E-2;3.894870281E-1
1.339767167E0;6.456340551E-1;7.234626263E-2;2.780126929E-1
1.349729167E0;5.697565675E-1;2.173667699E-1;2.048464566E-1
1.359690167E0;3.961815834E-1;3.853957355E-1;1.924385279E-1
1.369652167E0;1.553025544E-1;5.740957856E-1;2.484912127E-1
1.379613167E0;-9.863226116E-2;7.474097610E-1;3.347802758E-1
1.389575167E0;-2.733927071E-1;8.586058617E-1;4.025349319E-1
1.399537167E0;-2.850493491E-1;8.609417081E-1;4.276618659E-1
1.409498167E0;-6.280966103E-2;6.223449111E-1;4.202787280E-1
1.419460167E0;3.713037074E-1;1.949927658E-1;4.894343615E-1
1.429421167E0;8.928686380E-1;-1.502716988E-1;5.998387933E-1
1.439383167E0;1.327365756E0;-3.475152552E-1;7.729282975E-1
1.449344167E0;1.572336078E0;-3.319948316E-1;8.534545898E-1
1.459306167E0;1.541968346E0;-2.090566605E-1;7.955968976E-1
1.469268167E0;1.323658943E0;-7.260680199E-2;6.545107961E-1
1.479229167E0;9.367061257E-1;1.365781128E-1;5.186661482E-1
1.489191167E0;4.612855017E-1;3.340910673E-1;3.504899144E-1
1.499152167E0;1.441320498E-2;3.492865264E-1;1.463396996E-1
1.509114167E0;-3.310594857E-1;1.927286685E-1;-1.243316829E-1
1.519076167E0;-5.357388854E-1;1.162066963E-2;-4.100715816E-1
