"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
9.139091667E-1;1.785023026E1;-8.173602905E0;6.242319031E0
9.238711667E-1;1.703667206E1;-8.918154602E0;5.615272980E0
9.338321667E-1;1.652054535E1;-9.493408356E0;4.962480469E0
9.437941667E-1;1.623209518E1;-9.933343506E0;4.342769165E0
9.537551667E-1;1.599319199E1;-1.042102936E1;3.748205566E0
9.637171667E-1;1.554981400E1;-1.080647781E1;3.125500488E0
9.736791666E-1;1.473296265E1;-1.103684875E1;2.456990662E0
9.836401667E-1;1.329535217E1;-1.123922791E1;1.983525238E0
9.936021667E-1;1.135957764E1;-1.124925705E1;1.857936401E0
1.003563167E0;9.458231506E0;-1.093206665E1;1.922152863E0
1.013525167E0;8.009993134E0;-1.016521133E1;2.179767151E0
1.023487167E0;7.100634155E0;-9.434730377E0;2.740351410E0
1.033448167E0;6.781946869E0;-8.738677826E0;3.290307770E0
1.043410167E0;6.916666718E0;-7.994425507E0;3.824696503E0
1.053371167E0;7.160809021E0;-7.242389374E0;4.169729004E0
1.063333167E0;7.388784943E0;-6.399192810E0;4.208348694E0
1.073295167E0;7.555837555E0;-5.629044342E0;3.938908997E0
1.083256167E0;7.732769623E0;-5.202281799E0;3.467239838E0
1.093218167E0;7.842192078E0;-5.013674011E0;2.728226624E0
1.103179167E0;7.775281219E0;-5.080584869E0;1.939067688E0
1.113141167E0;7.419770508E0;-5.341492310E0;1.210981750E0
1.123103167E0;6.919361115E0;-5.638624420E0;5.287005615E-1
1.133064167E0;6.562054138E0;-5.921835480E0;-3.053649902E-2
1.143026167E0;6.534511414E0;-6.342311096E0;-8.735833740E-1
1.152987167E0;6.431226196E0;-6.769073639E0;-1.573827209E0
1.162949167E0;5.821993103E0;-7.129673767E0;-1.551373901E0
1.172911167E0;6.018983459E0;-7.288643188E0;-1.787283325E0
1.182872167E0;6.288273468E0;-7.113657074E0;-1.435215454E0
1.192834167E0;5.875282288E0;-7.004833374E0;-5.667214966E-1
1.202795167E0;5.566474457E0;-6.584507446E0;5.680686951E-1
1.212757167E0;5.945186920E0;-6.778354340E0;9.231303406E-1
1.222719167E0;5.867648163E0;-7.394024048E0;1.178050232E0
1.232680167E0;5.625751190E0;-7.667954407E0;1.557211761E0
1.242642167E0;5.634732513E0;-7.558232574E0;1.837429047E0
1.252603167E0;5.598956909E0;-7.398365021E0;2.281106415E0
1.262565167E0;5.739514618E0;-7.407945099E0;2.727777557E0
1.272527167E0;5.971232758E0;-7.435038757E0;3.103496246E0
1.282488167E0;6.055507507E0;-7.377109222E0;3.664978638E0
1.292450167E0;5.990841980E0;-7.088808746E0;4.069736938E0
1.302411167E0;5.864355011E0;-6.749314728E0;4.005071411E0
1.312373167E0;5.611231384E0;-6.458469543E0;3.643573151E0
1.322335167E0;5.388793945E0;-6.230792999E0;3.220103760E0
1.332296167E0;5.402565308E0;-5.952671356E0;2.697390747E0
1.342258167E0;5.395679626E0;-5.712570648E0;2.167941742E0
1.352219167E0;5.234165497E0;-5.672304382E0;1.782493286E0
1.362181167E0;4.908293152E0;-5.655090179E0;1.542841644E0
1.372143167E0;4.517156525E0;-5.527405701E0;1.485959930E0
1.382104167E0;4.229903870E0;-5.389692078E0;1.577120361E0
1.392066167E0;4.327949982E0;-5.505700836E0;2.012115784E0
1.402027167E0;4.736600189E0;-5.898933105E0;2.954555969E0
1.411989167E0;5.009183350E0;-6.346053314E0;4.053420868E0
1.421951167E0;5.064418488E0;-7.096891937E0;5.057532806E0
1.431912167E0;5.673202515E0;-7.416327667E0;5.847889252E0
1.441874167E0;6.509812775E0;-7.731721802E0;5.624703369E0
1.451835167E0;7.347321167E0;-8.709937592E0;4.469555511E0
1.461797167E0;8.210576019E0;-9.507030029E0;3.118465118E0
1.471758167E0;8.881780243E0;-9.555828552E0;2.002236328E0
1.481720167E0;8.658893738E0;-8.996741180E0;8.770262146E-1
1.491682167E0;8.167765045E0;-8.006400604E0;-6.646179199E-2
1.501643167E0;7.911497955E0;-7.257957001E0;-3.427871704E-1
1.511605167E0;7.835605774E0;-7.093898163E0;-6.960525513E-2
1.521566167E0;7.641758881E0;-7.411687317E0;7.605683899E-1
1.531528167E0;7.268884277E0;-7.762557678E0;2.041005707E0
1.541490167E0;6.845414886E0;-8.133785706E0;3.320694580E0
1.551450917E0;6.031108246E0;-8.599916382E0;3.996389465E0
1.561412917E0;4.910239105E0;-9.071286163E0;4.134552155E0
1.571373917E0;4.027824097E0;-9.310788116E0;4.072431335E0
1.581335917E0;3.496429138E0;-9.446555786E0;3.872447205E0
1.591297917E0;3.261118469E0;-9.279952240E0;3.609893188E0
1.601258917E0;3.324736176E0;-8.891959076E0;3.564088440E0
1.611220917E0;3.565735016E0;-8.401878204E0;3.765868835E0
1.621181917E0;3.874243469E0;-7.894134064E0;4.318519592E0
1.631143917E0;3.886967010E0;-7.913743286E0;5.385201416E0
1.641105917E0;3.119812317E0;-8.938362579E0;6.582711182E0
1.651066917E0;2.332749023E0;-1.093850327E1;5.752238159E0
1.661028917E0;1.422491913E0;-1.307411224E1;4.299958191E0
1.670989917E0;4.887336731E-1;-1.429781754E1;3.781586151E0
1.680951917E0;4.514611816E-1;-1.409663589E1;3.601061554E0
1.690913917E0;1.574875031E0;-1.302052368E1;3.555556183E0
1.700874917E0;2.559976501E0;-1.219334381E1;3.634292450E0
1.710836917E0;3.648662567E0;-1.136646332E1;3.445984039E0
1.720797917E0;4.650229797E0;-1.071367081E1;3.180885315E0
1.730759917E0;5.305866394E0;-1.035322037E1;2.631827087E0
1.740720917E0;5.517226868E0;-1.037387741E1;2.001338196E0
1.750682917E0;5.351072388E0;-1.048120422E1;1.549877014E0
1.760644917E0;4.933590546E0;-1.059556641E1;8.963360596E-1
1.770605917E0;4.344864807E0;-1.043345352E1;5.013075256E-1
1.780567917E0;3.957021332E0;-1.005578888E1;5.209167480E-1
1.790528917E0;3.965403900E0;-9.725276184E0;1.103056183E0
1.800490917E0;4.481231232E0;-9.228459320E0;1.909129944E0
1.810452917E0;5.331163788E0;-8.534652100E0;3.630101166E0
1.820413917E0;5.566474457E0;-8.262368317E0;4.757406921E0
1.830375917E0;5.593119049E0;-7.851023712E0;4.590953064E0
1.840336917E0;6.257138214E0;-7.127129059E0;4.807402954E0
1.850298917E0;6.812932434E0;-6.742129669E0;4.622537384E0
1.860260917E0;6.852599945E0;-6.621779938E0;4.087100830E0
1.870221917E0;6.924001465E0;-6.418502655E0;4.004173279E0
1.880183917E0;7.403454437E0;-6.152056732E0;4.245621185E0
1.890144917E0;7.633675690E0;-6.402186584E0;4.478836212E0
1.900106917E0;7.392527161E0;-6.969057770E0;4.295467529E0
1.910068917E0;6.605014801E0;-7.062762909E0;2.937192078E0
1.920029917E0;5.384003906E0;-6.732848969E0;1.582209778E-1
1.929991917E0;5.303621063E0;-6.133195953E0;-2.382295990E0
1.939952917E0;3.473077698E0;-5.692512360E0;-5.397326202E0
1.949914917E0;3.039878540E0;-5.453309784E0;-5.645959167E0
1.959876917E0;5.487887878E0;-5.138963470E0;-3.522774353E0
1.969837917E0;9.794582062E0;-4.108206940E0;-7.265890503E-1
1.979799917E0;1.210128525E1;-3.076103210E0;2.278112640E0
1.989760917E0;1.316572174E1;-2.228415985E0;4.049978027E0
1.999722917E0;1.324146423E1;-2.111808472E0;4.445605316E0
2.009683917E0;1.158994858E1;-2.723586273E0;3.907474365E0
2.019645917E0;8.957223358E0;-3.562591553E0;1.909728699E0
2.029607917E0;6.354435883E0;-4.424050140E0;-3.888912964E-1
2.039568917E0;4.401447144E0;-4.390519867E0;-1.550625458E0
2.049530917E0;2.747087402E0;-3.697610779E0;-2.071991272E0
2.059491917E0;2.837649078E0;-2.596201172E0;-1.505419464E0
2.069453917E0;4.479584656E0;-1.044976959E0;-3.306623840E-1
2.079415917E0;5.401816864E0;-7.427554321E-1;4.366419983E-1
2.089376917E0;6.762337646E0;-3.439846802E-1;7.101232910E-1
2.099338917E0;7.391030273E0;3.592529297E-2;1.856140137E-2
2.109299917E0;7.124284973E0;1.270857239E-1;-1.350042572E0
2.119261917E0;5.725892944E0;1.874102783E-1;-3.202590179E0
2.129223917E0;3.800895996E0;3.817062378E-2;-5.749693451E0
2.139184917E0;4.963677979E0;2.999761963E-1;-5.245841217E0
2.149146917E0;7.757917328E0;1.340612183E0;-3.107837219E0
2.159107917E0;9.973759460E0;2.495011597E0;-1.797162781E0
2.169069917E0;1.174607391E1;2.563269653E0;-1.434317322E0
2.179030917E0;1.249346970E1;1.539099426E0;-2.013013916E0
2.188992917E0;1.260154495E1;4.105961609E-1;-3.295995941E0
2.198954917E0;1.199036591E1;-2.360591125E-1;-4.842879181E0
2.208915917E0;1.008722351E1;-1.833986206E0;-6.443650360E0
2.218877917E0;8.227640533E0;-2.395019531E0;-5.823489990E0
2.228838917E0;6.159241791E0;-5.216202850E0;-4.084406433E0
2.238800917E0;6.088139648E0;-7.934400330E0;-2.795736237E0
2.248762917E0;8.011789398E0;-7.208260345E0;-3.021317139E0
2.258723917E0;1.018886215E1;-6.233337708E0;-4.278253326E0
2.268685917E0;1.348201401E1;-5.265151062E0;-4.337679749E0
2.278646917E0;1.467937408E1;-4.029171295E0;-1.170266418E0
2.288608917E0;1.555101151E1;-3.958218842E0;2.935395813E-1
2.298569917E0;1.517589157E1;-4.261488190E0;-4.715194702E-1
2.308531917E0;1.388961639E1;-5.332061920E0;-1.791773987E-1
2.318493917E0;1.187360870E1;-6.000571747E0;5.484594727E-1
2.328454917E0;1.016985168E1;-6.222560120E0;1.109343109E0
2.338416917E0;9.407636719E0;-5.972579956E0;1.825603638E0
2.348377917E0;8.279432831E0;-6.905140686E0;1.838177490E0
2.358339917E0;8.376131744E0;-6.154002686E0;2.183509369E0
2.368301917E0;8.472980347E0;-4.289180603E0;1.726060638E0
2.378262917E0;9.053473206E0;-3.122057648E0;9.562115479E-1
2.388224917E0;9.815388794E0;-3.284320221E0;1.577569427E0
2.398185917E0;8.236322479E0;-4.091142426E0;1.049168243E0
2.408147917E0;5.884413300E0;-5.444478149E0;1.974394226E-1
2.418109917E0;4.959037628E0;-5.306315460E0;1.691781921E0
2.428070917E0;5.264252930E0;-4.810696106E0;1.709744568E0
2.438032917E0;4.933590546E0;-4.984035645E0;1.679956512E0
2.447993917E0;4.737348633E0;-4.707710266E0;2.817740479E0
2.457955917E0;5.099295959E0;-4.308789825E0;3.355871429E0
