t_Android;t_unix;x;y;z;a
2421990168359044;1715087865267;0.50671273;0.7620544;1.0549643;3
2421990170562616;1715087865271;0.50671273;0.7620544;1.0549643;3
2421990172778843;1715087865278;0.50671273;0.7620544;1.0549643;3
2421990174993443;1715087865278;0.50671273;0.7620544;1.0549643;3
2421990177213170;1715087865278;0.50671273;0.7620544;1.0549643;3
2421990179429173;1715087865278;0.50671273;0.7620544;1.0549643;3
2421990181653355;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990183874485;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990186094823;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990188301488;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990190512547;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990192731846;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990194949803;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990197164097;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990199373692;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990201589573;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990203806981;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990206027927;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990208242222;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990210451634;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990212663243;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990214888829;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990217102147;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990219317174;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990221529393;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990223744969;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990225968357;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990228184726;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990230397435;1715087865330;0.50671273;0.7620544;1.0549643;3
2421990232616734;1715087865344;0.50671273;0.7620544;1.0549643;3
2421990234834019;1715087865344;0.50671273;0.7620544;1.0549643;3
2421990237045689;1715087865344;0.50671273;0.7620544;1.0549643;3
2421990239255467;1715087865344;0.50671273;0.7620544;1.0549643;3
2421990241471776;1715087865344;0.50671273;0.7620544;1.0549643;3
2421990243692662;1715087865344;0.50671273;0.7620544;1.0549643;3
2421990245910374;1715087865345;0.50671273;0.7620544;1.0549643;3
2421990248127598;1715087865347;0.50671273;0.7620544;1.0549643;3
2421990250334874;1715087865350;0.50671273;0.7620544;1.0549643;3
2421990252555577;1715087865352;0.50671273;0.7620544;1.0549643;3
2421990254767369;1715087865355;0.50671273;0.7620544;1.0549643;3
2421990256975194;1715087865356;0.50671273;0.7620544;1.0549643;3
2421990259196080;1715087865358;0.50671273;0.7620544;1.0549643;3
2421990261412877;1715087865360;0.50671273;0.7620544;1.0549643;3
2421990263636510;1715087865366;0.50671273;0.7620544;1.0549643;3
2421990265851414;1715087865366;0.50671273;0.7620544;1.0549643;3
2421990268064854;1715087865367;0.50671273;0.7620544;1.0549643;3
2421990270275731;1715087865369;0.50671273;0.7620544;1.0549643;3
2421990272495640;1715087865371;0.50671273;0.7620544;1.0549643;3
2421990274711522;1715087865376;0.50671273;0.7620544;1.0549643;3
2421990276928135;1715087865376;0.50671273;0.7620544;1.0549643;3
2421990279140293;1715087865378;0.50671273;0.7620544;1.0549643;3
2421990281354161;1715087865380;0.50671273;0.7620544;1.0549643;3
2421990283574131;1715087865382;0.50671273;0.7620544;1.0549643;3
2421990285785679;1715087865386;0.50671273;0.7620544;1.0549643;3
2421990288005772;1715087865387;0.50671273;0.7620544;1.0549643;3
2421990290216466;1715087865389;0.50671273;0.7620544;1.0549643;3
2421990292438268;1715087865391;0.50671273;0.7620544;1.0549643;3
2421990294652379;1715087865393;0.50671273;0.7620544;1.0549643;3
2421990296868016;1715087865397;0.50671273;0.7620544;1.0549643;3
2421990299077122;1715087865397;0.50671273;0.7620544;1.0549643;3
2421990301291356;1715087865400;0.50671273;0.7620544;1.0549643;3
2421990303515293;1715087865402;0.50671273;0.7620544;1.0549643;3
2421990305733006;1715087865404;0.50671273;0.7620544;1.0549643;3
2421990307947422;1715087865408;0.50671273;0.7620544;1.0549643;3
2421990310153660;1715087865408;0.50671273;0.7620544;1.0549643;3
2421990312363682;1715087865411;0.50671273;0.7620544;1.0549643;3
2421990314592564;1715087865413;0.50671273;0.7620544;1.0549643;3
2421990316805394;1715087865415;0.50671273;0.7620544;1.0549643;3
2421990319023289;1715087865419;0.50671273;0.7620544;1.0549643;3
2421990321235203;1715087865420;0.50671273;0.7620544;1.0549643;3
2421990323457127;1715087865422;0.50671273;0.7620544;1.0549643;3
2421990325672337;1715087865424;0.50671273;0.7620544;1.0549643;3
2421990327887730;1715087865426;0.50671273;0.7620544;1.0549643;3
2421990330100316;1715087865430;0.50671273;0.7620544;1.0549643;3
2421990332318211;1715087865431;0.50671273;0.7620544;1.0549643;3
2421990334534336;1715087865433;0.50671273;0.7620544;1.0549643;3
2421990336752171;1715087865435;0.50671273;0.7620544;1.0549643;3
2421990338967198;1715087865437;0.50671273;0.7620544;1.0549643;3
2421990341176121;1715087865441;0.50671273;0.7620544;1.0549643;3
2421990343393406;1715087865442;0.50671273;0.7620544;1.0549643;3
2421990345600010;1715087865444;0.50671273;0.7620544;1.0549643;3
2421990347828221;1715087865446;0.50671273;0.7620544;1.0549643;3
2421990350038670;1715087865448;0.50671273;0.7620544;1.0549643;3
2421990352262303;1715087865451;0.50671273;0.7620544;1.0549643;3
2421990354474827;1715087865453;0.50671273;0.7620544;1.0549643;3
2421990356684666;1715087865455;0.50671273;0.7620544;1.0549643;3
2421990358892735;1715087865457;0.50671273;0.7620544;1.0549643;3
