"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1718020057.758;"2024-06-10 13:47:37.758 UTC+02:00"
"PAUSE";8.786583135E2;1718020936.416;"2024-06-10 14:02:16.416 UTC+02:00"
