"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.692050392E0;3.299125195E0;1.257612228E0;-1.627299070E0
1.709774269E0;4.788381577E0;3.096224785E0;3.105701506E-1
1.727498329E0;-3.347945213E-1;-8.148241043E-2;1.640309811E0
1.745221962E0;-3.782358646E0;-2.101060867E0;2.715790987E0
1.762946022E0;-3.820179462E0;-7.541942596E-1;3.045832813E-1
1.780669045E0;-2.608192921E0;1.293584824E0;4.994450808E-1
1.798396827E0;-2.040386677E0;2.147079468E0;2.472154498E-1
1.816117775E0;-2.023794651E0;1.782030582E0;5.048412681E-1
1.833843666E0;-3.475216866E0;-5.998840332E-1;-8.291807771E-1
1.851565590E0;-3.642626762E0;-2.801762581E0;-3.329097629E-1
1.869279945E0;-2.124583244E0;-2.248708248E0;-4.526669979E-1
1.887016640E0;-8.934412003E-1;-2.261836052E0;7.284333706E-1
1.904737343E0;5.894489288E-1;-3.087261677E0;-2.169343948E0
1.922459755E0;1.097088814E0;-3.637859344E0;-4.928732872E0
1.940184914E0;5.168142319E-1;-2.699260235E0;7.139635086E-2
1.957908791E0;9.790458679E-1;-3.823432922E-1;3.857389450E0
1.975632973E0;1.531640530E0;1.857669353E0;1.565695167E0
1.993356728E0;6.683750153E-1;5.200300217E-1;-1.191255212E0
2.011080544E0;8.310308456E-1;-7.453165054E-1;-1.087941170E0
2.028804421E0;4.395070076E-1;-1.620913029E0;2.374600172E-1
2.046514443E0;2.451982498E-1;-2.612758636E0;1.461357832E0
2.064252663E0;5.736923218E-1;-5.017547607E-1;-1.852457523E-1
2.081973549E0;9.200086594E-1;2.621331215E0;-1.307212472E0
2.099692421E0;-1.545658112E-1;7.870483398E-1;-4.838721454E-1
2.117424171E0;-1.531295776E-1;2.036037445E0;2.603421807E-1
2.135148048E0;1.135287285E-1;4.191665649E0;1.107000828E0
2.152872170E0;-6.272087097E-1;4.878110409E0;6.222561598E-1
2.170595863E0;-2.584226608E0;3.106932640E0;1.366908550E0
2.188322608E0;-2.181730986E0;2.155957222E0;4.959303141E-2
2.206043556E0;-1.785691738E0;1.687477112E0;-6.393088102E-1
2.223767677E0;-2.702101469E0;-1.320720673E0;-4.937731028E-1
2.241491554E0;-1.770636559E0;-9.410820007E-1;3.224501014E-1
2.259215370E0;6.549906731E-1;8.678712845E-1;1.630123734E0
2.276939308E0;7.249677181E0;-1.001378155E1;5.523745418E-1
2.294663124E0;8.223948479E0;-1.606865120E1;1.641568303E0
