time,seconds_elapsed,z,y,x
1713800524569829600,103.64782958984375,-0.284621000289917,4.781223297119141,-4.900390148162842
1713800524587550700,103.66555078125,3.4080777168273926,3.8687191009521484,-4.011920928955078
1713800524605271600,103.683271484375,5.4542999267578125,2.6648378372192383,-1.536381483078003
1713800524622995500,103.70099536132813,5.531078338623047,2.4904937744140625,2.5558104515075684
1713800524640717600,103.71871752929688,2.0236027240753174,5.000901222229004,6.0738749504089355
1713800524658437400,103.73643725585937,-3.620454788208008,7.664913177490234,5.839189529418945
1713800524676158500,103.75415844726562,-3.650561809539795,7.769847869873047,4.743001461029053
1713800524693882400,103.77188232421875,-1.729049801826477,4.991244316101074,4.169299125671387
1713800524711603500,103.789603515625,1.9550933837890625,2.1984338760375977,3.595977306365967
1713800524729324500,103.80732446289062,4.296160697937012,0.09508991241455078,2.5631937980651855
1713800524747047000,103.825046875,6.278991222381592,-0.6507320404052734,2.3539600372314453
1713800524764759300,103.84275927734375,5.204731464385986,-1.5337047576904297,1.197287917137146
1713800524782490400,103.86049047851563,3.995408058166504,-3.806225299835205,0.22226476669311523
1713800524800200700,103.87820068359375,2.821610450744629,-5.456979751586914,-0.2670530080795288
1713800524817933600,103.89593359375,3.1249074935913086,-7.118471622467041,-0.5836004018783569
1713800524835643600,103.9136435546875,3.3881618976593018,-7.661111354827881,-0.26162445545196533
1713800524853377500,103.93137744140626,3.7942097187042236,-6.46121072769165,1.1877375841140747
1713800524871098400,103.94909838867187,4.276061534881592,-5.684266090393066,2.2078542709350586
1713800524888815900,103.96681591796874,3.16560697555542,-5.828368186950684,2.567795753479004
1713800524906542300,103.98454223632812,1.5941975116729736,-6.215874671936035,2.65128231048584
1713800524924263400,104.00226342773438,0.42514705657958984,-6.059616565704346,1.7293610572814941
1713800524941986800,104.01998681640625,-1.1679584980010986,-3.5041589736938477,0.6938750743865967
1713800524959702800,104.03770288085937,-4.5891828536987305,1.3246965408325195,-1.0446536540985107
1713800524977428200,104.05542822265625,-7.6697468757629395,5.779763221740723,-3.139045238494873
1713800524995152600,104.07315258789062,-6.922712326049805,6.994421005249023,-1.9865695238113403
1713800525012872700,104.09087280273438,-4.945611000061035,6.134855270385742,-0.17248086631298065
1713800525030594600,104.10859448242188,-3.9864048957824707,2.7352819442749023,-0.10029236972332001
1713800525048315600,104.12631567382813,-5.7306437492370605,-1.7684974670410156,-0.1777937114238739
1713800525066039300,104.14403930664062,-4.620359420776367,-3.322756767272949,0.5100294351577759
1713800525083759600,104.16175952148437,-3.9824576377868652,1.8949222564697266,0.940948486328125
1713800525101481700,104.17948168945313,4.347698211669922,5.408628463745117,4.092097282409668
1713800525119203800,104.19720385742187,9.772258758544922,8.147087097167969,10.057737350463867
1713800525136925400,104.21492553710938,0.18449687957763672,5.066686630249023,5.713135242462158
1713800525154648600,104.23264868164063,-3.1574888229370117,-4.0430908203125,1.0158512592315674
1713800525172370000,104.25036987304688,4.077184677124023,-3.8424477577209473,-0.45859798789024353
1713800525190090500,104.26809057617187,5.668879985809326,1.2784309387207031,-3.0063862800598145
