time,seconds_elapsed,steps
1713800421012198400,0.090198486328125,0
1713800428507799300,7.58579931640625,1
1713800428738189800,7.81618994140625,2
1713800429411641300,8.489641357421876,3
1713800430031924500,9.109924560546874,4
1713800430599039000,9.6770390625,5
1713800431130717700,10.2087177734375,6
1713800431662384400,10.74038427734375,7
1713800432176327400,11.254327392578125,8
1713800432867497700,11.945497802734375,9
1713800433186498600,12.26449853515625,10
1713800433895388700,12.973388671875,11
1713800434249833700,13.327833740234375,12
1713800434870110500,13.9481103515625,13
1713800435295443700,14.373443603515625,14
1713800435897990700,14.97599072265625,15
1713800437067658500,16.145658447265625,17
1713800438077831000,17.155830810546874,19
1713800439105719800,18.1837197265625,21
1713800440115886000,19.193885986328127,23
1713800441002002200,20.080002197265625,25
1713800442111862000,21.189862060546876,27
1713800443110954000,22.1889541015625,29
1713800444121124900,23.199124755859376,31
1713800445024958500,24.10295849609375,33
1713800446123716600,25.201716552734375,35
1713800447116178700,26.1941787109375,37
1713800448090897700,27.168897705078123,39
1713800449118779600,28.196779541015626,41
1713800450128935000,29.206934814453124,43
1713800451139099600,30.217099609375,45
1713800452131536100,31.2095361328125,47
1713800453159416800,32.237416748046876,49
1713800454169574000,33.247573974609374,51
1713800455073398500,34.1513984375,53
1713800456243051800,35.3210517578125,55
1713800457253206300,36.33120629882813,57
1713800458281095200,37.35909521484375,59
1713800459273514800,38.3515146484375,61
1713800460248224800,39.326224853515626,63
1713800461276101400,40.354101318359376,65
1713800462268535600,41.34653564453125,67
1713800463260970500,42.33897045898438,69
1713800464217959400,43.29595947265625,71
1713800465194882300,44.27288232421875,73
1713800466176233500,45.2542333984375,75
1713800467135438800,46.21343896484375,77
1713800468134515200,47.21251513671875,79
1713800469109228800,48.187228759765624,81
1713800470101661700,49.17966162109375,83
1713800471058655500,50.13665551757813,85
1713800472051096300,51.12909643554688,87
1713800473078974500,52.156974365234376,89
1713800474071413000,53.1494130859375,91
1713800475081569000,54.159569091796875,93
1713800476091726000,55.16972607421875,95
1713800477101878300,56.17987817382812,97
1713800477983547000,57.061546875,99
1713800479069013500,58.14701342773437,101
1713800480072518100,59.15051806640625,103
1713800481053876200,60.13187622070313,105
1713800481939974400,61.01797436523437,107
1713800483056455400,62.13445532226562,109
1713800484084331800,63.16233178710937,111
1713800485059039000,64.1370390625,113
1713800486051474700,65.129474609375,115
1713800487079349500,66.157349609375,117
1713800488071778000,67.14977807617187,119
1713800488957874400,68.03587451171875,121
1713800490056633000,69.13463305664062,123
1713800491084501200,70.16250122070312,125
1713800492076926200,71.15492626953124,127
1713800493016186600,72.0941865234375,129
1713800494044055300,73.12205517578126,131
1713800495160535300,74.23853540039063,133
1713800496152965000,75.23096508789062,135
1713800497056778500,76.13477856445313,137
1713800498173255400,77.25125537109375,139
1713800499041624000,78.1196240234375,141
1713800500197976600,79.2759765625,143
1713800501088495600,80.16649560546875,145
