"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1715099373.304;"2024-05-07 18:29:33.304 UTC+02:00"
"PAUSE";4.432705830E2;1715099816.575;"2024-05-07 18:36:56.575 UTC+02:00"
