"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1717338524.654;"2024-06-02 16:28:44.654 UTC+02:00"
"PAUSE";5.677454084E2;1717339092.399;"2024-06-02 16:38:12.399 UTC+02:00"
