"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.491912668E0;1.600786209E0;8.083976507E-1;-5.194339752E0
1.510224863E0;1.502965450E0;2.480595112E-1;-3.319361210E0
1.528535716E0;1.201199055E0;2.231335640E-2;-2.593163967E0
1.546849619E0;9.055900574E-1;-5.638782978E-1;-2.679893017E0
1.565162180E0;1.066242695E0;-4.348144531E-1;-2.771566629E0
1.583477183E0;1.323128223E0;-2.067594528E-1;-2.943196774E0
1.601787851E0;1.183135033E0;-1.738825798E0;-3.251781464E0
1.620098947E0;9.558582306E-1;-2.026970387E0;-3.845957041E0
1.638398081E0;3.188615322E0;-3.472065926E-1;-5.613195419E0
1.656726572E0;6.502718925E0;1.306329250E0;-5.499016762E0
1.675038340E0;6.611531734E0;2.903815269E0;-4.270100117E0
1.693334117E0;5.799827099E0;3.204849243E0;-4.277482986E0
1.711648936E0;4.837010384E0;2.508448601E0;-3.284648180E0
1.729961374E0;3.313364029E0;1.778221130E-1;-2.358945608E0
1.748275705E0;1.247861385E0;-1.963853359E0;-1.962632298E0
1.766586863E0;1.366462708E-1;-3.878907681E0;-1.912186861E0
1.784899241E0;-8.879513741E-1;-4.949214935E0;-1.556633115E0
1.803211191E0;-1.694450855E0;-5.132347107E0;-1.226263046E0
1.821524973E0;-2.026544571E0;-3.358915329E0;-1.544102788E0
1.839836375E0;-1.275695324E0;-2.362826824E0;-2.007889271E0
1.858149180E0;-6.432652473E-1;-2.151883125E0;-2.531072855E0
1.876461008E0;-2.924942970E-1;-2.168575764E0;-3.255095243E0
1.894773996E0;-1.926679611E-1;-2.270221233E0;-4.352668762E0
1.913095530E0;1.043005943E0;-9.670367241E-1;-4.150889397E0
1.931408457E0;1.640848160E0;5.462093353E-1;-4.446616650E0
1.949720957E0;1.622811794E0;1.330333233E0;-3.744678497E0
1.968034433E0;1.483758450E0;1.165488720E0;-3.377085209E0
1.986339366E0;7.427225113E-1;-1.729316711E-1;-3.091621876E0
2.004657968E0;3.579387665E-1;-9.512038231E-1;-2.573721170E0
2.022969370E0;4.063992500E-1;-4.501976967E-1;-2.674051046E0
2.041283762E0;-5.019617081E-1;-6.456413269E-1;-3.743068457E0
2.059594980E0;-8.802361488E-1;-6.868591309E-1;-3.856563568E0
2.077907724E0;-9.616732597E-1;-6.721777916E-1;-3.822944164E0
2.096220957E0;-9.960560799E-1;-9.804115295E-1;-3.402533531E0
2.114531993E0;-8.393111229E-1;-1.142268181E0;-2.896118164E0
2.132844248E0;-9.846467972E-1;-1.119949818E0;-2.937510490E0
2.151156504E0;-9.585523605E-1;-1.012353420E0;-3.129017353E0
2.169457346E0;-8.862848282E-1;-1.006619453E0;-2.683246613E0
2.187782236E0;-1.362700939E0;-9.076557159E-1;-2.753720522E0
2.206093515E0;-1.716387510E0;-9.646539688E-1;-3.304986000E0
2.224405771E0;-2.084296465E0;-1.361736298E0;-3.270620823E0
2.242718271E0;-2.197255611E0;-1.819664001E0;-2.969330788E0
2.261031504E0;-2.733462095E0;-2.294840336E0;-2.844427824E0
2.279343088E0;-2.780229568E0;-1.969771862E0;-2.765300512E0
2.297655283E0;-2.665140629E0;-1.500147820E0;-2.675333023E0
2.315968760E0;-2.503986835E0;-9.484424591E-1;-2.794128895E0
2.334278147E0;-2.188019276E0;-6.311712265E-1;-2.534413576E0
2.352592050E0;-2.040685892E0;-7.613630295E-1;-2.360629559E0
2.370904306E0;-1.921368361E0;-8.308887482E-1;-2.443438530E0
2.389216562E0;-1.935295343E0;-7.333774567E-1;-2.834241390E0
2.407530283E0;-2.125191689E0;-7.130966187E-1;-3.037737370E0
2.425841379E0;-2.337419987E0;-8.969764709E-1;-2.790726662E0
2.444154795E0;-2.552878857E0;-1.176702499E0;-2.791969538E0
2.462465830E0;-2.688907862E0;-1.488786697E0;-2.706394196E0
2.480779550E0;-2.739952803E0;-1.710336685E0;-2.217757225E0
2.499086252E0;-2.512778521E0;-1.622028351E0;-2.057153225E0
2.517402842E0;-2.480338812E0;-1.413431168E0;-2.147414446E0
2.535715342E0;-2.634083271E0;-1.274271011E0;-2.436177492E0
2.554028818E0;-2.797171116E0;-9.900169373E-1;-2.580533028E0
2.572326975E0;-2.709995031E0;-8.545818329E-1;-2.309424877E0
2.590652170E0;-2.547211170E0;-9.924449921E-1;-2.413676739E0
2.608964487E0;-2.715187550E0;-1.066212654E0;-2.216745853E0
2.627273203E0;-2.772562027E0;-9.673671722E-1;-1.859948874E0
2.645589182E0;-2.921364546E0;-7.416458130E-1;-2.072697163E0
2.663901560E0;-2.983123064E0;-6.885738373E-1;-1.902989030E0
2.682215037E0;-2.843656778E0;-6.457376480E-1;-1.509560347E0
2.700527414E0;-2.755153179E0;-6.756591797E-1;-1.431354403E0
2.718838327E0;-3.007219553E0;-8.899908066E-1;-1.439570546E0
2.737150949E0;-3.119269848E0;-1.060710907E0;-1.356521368E0
2.755457102E0;-3.072930574E0;-9.939441681E-1;-1.357202172E0
2.773776560E0;-3.026437283E0;-9.999160767E-1;-1.247284532E0
2.792090586E0;-2.953301430E0;-9.169855118E-1;-1.231729388E0
2.810396983E0;-3.173964500E0;-1.047220230E0;-1.325469255E0
2.828712412E0;-3.328361511E0;-1.176967621E0;-1.647409678E0
2.847024912E0;-3.169878006E0;-1.156883240E0;-2.025279284E0
2.865325449E0;-3.183842182E0;-1.193582535E0;-2.357576132E0
2.883648265E0;-2.983297348E0;-1.225872993E0;-2.581808805E0
2.901950083E0;-2.639058113E0;-1.290952682E0;-2.412734509E0
